 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and      78 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.106488093126E+05    0.10649E+05   -0.55037E+05  1256   0.164E+03
DAV:   2     0.688624344642E+03   -0.99602E+04   -0.96186E+04  1088   0.528E+02
DAV:   3    -0.364832166195E+03   -0.10535E+04   -0.98676E+03  1184   0.183E+02
DAV:   4    -0.435392131720E+03   -0.70560E+02   -0.69617E+02  1192   0.418E+01
DAV:   5    -0.438328296851E+03   -0.29362E+01   -0.29319E+01  1360   0.910E+00    0.859E+01
DAV:   6    -0.539919364074E+03   -0.10159E+03   -0.10599E+03  1232   0.118E+02    0.169E+02
DAV:   7    -0.409280170483E+03    0.13064E+03   -0.18877E+02  1240   0.629E+01    0.721E+01
DAV:   8    -0.571749596355E+03   -0.16247E+03   -0.15711E+02  1256   0.113E+02    0.189E+02
DAV:   9    -0.430286108908E+03    0.14146E+03   -0.18948E+02  1360   0.551E+01    0.871E+01
DAV:  10    -0.406280495778E+03    0.24006E+02   -0.76431E+01  1536   0.497E+01    0.780E+01
DAV:  11    -0.405403366532E+03    0.87713E+00   -0.89576E+01  1440   0.441E+01    0.826E+01
DAV:  12    -0.405511750569E+03   -0.10838E+00   -0.55233E+01  1424   0.270E+01    0.622E+01
DAV:  13    -0.397449209103E+03    0.80625E+01   -0.48740E+01  1384   0.313E+01    0.493E+01
DAV:  14    -0.393444397283E+03    0.40048E+01   -0.39121E+01  1408   0.226E+01    0.363E+01
DAV:  15    -0.387816592282E+03    0.56278E+01   -0.12645E+01  1368   0.235E+01    0.332E+01
DAV:  16    -0.388268906500E+03   -0.45231E+00   -0.12566E+01  1424   0.187E+01    0.279E+01
DAV:  17    -0.384955497879E+03    0.33134E+01   -0.29320E+00  1376   0.105E+01    0.170E+01
DAV:  18    -0.384268098571E+03    0.68740E+00   -0.14310E+00  1480   0.658E+00    0.147E+01
DAV:  19    -0.384057457641E+03    0.21064E+00   -0.15203E+00  1408   0.795E+00    0.127E+01
DAV:  20    -0.383957621734E+03    0.99836E-01   -0.96753E-01  1424   0.632E+00    0.114E+01
DAV:  21    -0.383710735492E+03    0.24689E+00   -0.49660E-01  1440   0.431E+00    0.961E+00
DAV:  22    -0.383640089015E+03    0.70646E-01   -0.40082E-01  1424   0.400E+00    0.865E+00
DAV:  23    -0.383582810766E+03    0.57278E-01   -0.64807E-01  1536   0.392E+00    0.774E+00
DAV:  24    -0.383504221468E+03    0.78589E-01   -0.35113E-01  1416   0.335E+00    0.652E+00
DAV:  25    -0.383430544492E+03    0.73677E-01   -0.19716E-01  1344   0.242E+00    0.545E+00
DAV:  26    -0.383379061723E+03    0.51483E-01   -0.13981E-01  1392   0.198E+00    0.397E+00
DAV:  27    -0.383376465306E+03    0.25964E-02   -0.42463E-02  1424   0.114E+00    0.380E+00
DAV:  28    -0.383372759103E+03    0.37062E-02   -0.33608E-02  1432   0.113E+00    0.369E+00
DAV:  29    -0.383365180597E+03    0.75785E-02   -0.45049E-02  1440   0.145E+00    0.349E+00
DAV:  30    -0.383316990647E+03    0.48190E-01   -0.88875E-02  1496   0.148E+00    0.168E+00
DAV:  31    -0.383316233474E+03    0.75717E-03   -0.29059E-02  1384   0.106E+00    0.147E+00
DAV:  32    -0.383311110156E+03    0.51233E-02   -0.13971E-02  1264   0.769E-01    0.100E+00
DAV:  33    -0.383310839222E+03    0.27093E-03   -0.84270E-03  1368   0.578E-01    0.991E-01
DAV:  34    -0.383309240942E+03    0.15983E-02   -0.49132E-03  1320   0.448E-01    0.766E-01
DAV:  35    -0.383308732480E+03    0.50846E-03   -0.19263E-03  1264   0.310E-01    0.610E-01
DAV:  36    -0.383308694499E+03    0.37981E-04   -0.17378E-03  1184   0.260E-01    0.550E-01
DAV:  37    -0.383308644299E+03    0.50200E-04   -0.13218E-03  1168   0.223E-01    0.449E-01
DAV:  38    -0.383308455003E+03    0.18930E-03   -0.18432E-03  1128   0.206E-01    0.181E-01
DAV:  39    -0.383308766968E+03   -0.31196E-03   -0.57332E-04  1040   0.147E-01    0.157E-01
DAV:  40    -0.383309041716E+03   -0.27475E-03   -0.23129E-04   680   0.104E-01    0.856E-02
DAV:  41    -0.383309301698E+03   -0.25998E-03   -0.10189E-04   656   0.699E-02    0.104E-01
DAV:  42    -0.383309645527E+03   -0.34383E-03   -0.88510E-05   680   0.584E-02    0.581E-02
DAV:  43    -0.383310333830E+03   -0.68830E-03   -0.12232E-04   712   0.707E-02    0.975E-02
