 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and      72 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.968396748428E+04    0.96840E+04   -0.50832E+05  1184   0.163E+03
DAV:   2     0.592973930661E+03   -0.90910E+04   -0.87677E+04  1016   0.521E+02
DAV:   3    -0.341314742457E+03   -0.93429E+03   -0.88049E+03  1096   0.178E+02
DAV:   4    -0.402418780831E+03   -0.61104E+02   -0.60267E+02  1120   0.403E+01
DAV:   5    -0.404828282702E+03   -0.24095E+01   -0.24052E+01  1232   0.855E+00    0.821E+01
DAV:   6    -0.488137916577E+03   -0.83310E+02   -0.96048E+02  1152   0.117E+02    0.157E+02
DAV:   7    -0.373991742960E+03    0.11415E+03   -0.17419E+02  1144   0.626E+01    0.622E+01
DAV:   8    -0.483472718566E+03   -0.10948E+03   -0.13515E+02  1248   0.914E+01    0.172E+02
DAV:   9    -0.375791091005E+03    0.10768E+03   -0.13070E+02  1208   0.492E+01    0.807E+01
DAV:  10    -0.371369374125E+03    0.44217E+01   -0.48414E+01  1328   0.266E+01    0.445E+01
DAV:  11    -0.373097757903E+03   -0.17284E+01   -0.26789E+01  1312   0.326E+01    0.772E+01
DAV:  12    -0.367632151317E+03    0.54656E+01   -0.29024E+01  1296   0.207E+01    0.405E+01
DAV:  13    -0.364728034345E+03    0.29041E+01   -0.18192E+01  1288   0.249E+01    0.387E+01
DAV:  14    -0.360704405874E+03    0.40236E+01   -0.13725E+01  1280   0.186E+01    0.250E+01
DAV:  15    -0.358278400472E+03    0.24260E+01   -0.43880E+00  1256   0.138E+01    0.220E+01
DAV:  16    -0.358602730638E+03   -0.32433E+00   -0.76376E+00  1256   0.106E+01    0.220E+01
DAV:  17    -0.356671111250E+03    0.19316E+01   -0.18720E+00  1328   0.997E+00    0.161E+01
DAV:  18    -0.356018436891E+03    0.65267E+00   -0.15657E+00  1312   0.756E+00    0.139E+01
DAV:  19    -0.355557802569E+03    0.46063E+00   -0.55706E-01  1312   0.432E+00    0.107E+01
DAV:  20    -0.355290026661E+03    0.26778E+00   -0.26837E-01  1360   0.316E+00    0.949E+00
DAV:  21    -0.355133856686E+03    0.15617E+00   -0.25445E-01  1320   0.333E+00    0.792E+00
DAV:  22    -0.354940991635E+03    0.19287E+00   -0.31542E-01  1376   0.349E+00    0.562E+00
DAV:  23    -0.354891390683E+03    0.49601E-01   -0.16282E-01  1296   0.219E+00    0.484E+00
DAV:  24    -0.354856816177E+03    0.34575E-01   -0.13583E-01  1328   0.204E+00    0.378E+00
DAV:  25    -0.354821930190E+03    0.34886E-01   -0.75942E-02  1256   0.159E+00    0.283E+00
DAV:  26    -0.354842889451E+03   -0.20959E-01   -0.98277E-02  1328   0.186E+00    0.334E+00
DAV:  27    -0.354809480533E+03    0.33409E-01   -0.76337E-02  1288   0.175E+00    0.201E+00
DAV:  28    -0.354815713595E+03   -0.62331E-02   -0.50822E-02  1320   0.143E+00    0.236E+00
DAV:  29    -0.354799856754E+03    0.15857E-01   -0.37051E-02  1320   0.124E+00    0.126E+00
DAV:  30    -0.354801290423E+03   -0.14337E-02   -0.19996E-02  1296   0.921E-01    0.133E+00
DAV:  31    -0.354797182136E+03    0.41083E-02   -0.10543E-02  1184   0.660E-01    0.893E-01
DAV:  32    -0.354797778204E+03   -0.59607E-03   -0.74067E-03  1232   0.593E-01    0.954E-01
DAV:  33    -0.354795114621E+03    0.26636E-02   -0.33833E-03  1344   0.395E-01    0.588E-01
DAV:  34    -0.354794829978E+03    0.28464E-03   -0.16282E-03  1144   0.285E-01    0.506E-01
DAV:  35    -0.354794634384E+03    0.19559E-03   -0.89874E-04   928   0.166E-01    0.325E-01
DAV:  36    -0.354794627150E+03    0.72332E-05   -0.57325E-04   976   0.179E-01
   1 F= -.35479463E+03 E0= -.35427733E+03  d E =-.103459E+01
