 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and      60 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.760295104477E+04    0.76030E+04   -0.42030E+05   976   0.157E+03
DAV:   2     0.447953326884E+03   -0.71550E+04   -0.68987E+04   848   0.501E+02
DAV:   3    -0.284984973221E+03   -0.73294E+03   -0.69003E+03   936   0.166E+02
DAV:   4    -0.331112346558E+03   -0.46127E+02   -0.45536E+02   952   0.373E+01
DAV:   5    -0.332586874727E+03   -0.14745E+01   -0.14723E+01   992   0.721E+00    0.746E+01
DAV:   6    -0.427322582107E+03   -0.94736E+02   -0.86572E+02   952   0.122E+02    0.158E+02
DAV:   7    -0.311342156449E+03    0.11598E+03   -0.15775E+02   952   0.606E+01    0.644E+01
DAV:   8    -0.322770473862E+03   -0.11428E+02   -0.15015E+02  1136   0.731E+01    0.108E+02
DAV:   9    -0.302654707255E+03    0.20116E+02   -0.67226E+01  1008   0.338E+01    0.654E+01
DAV:  10    -0.300426233679E+03    0.22285E+01   -0.62980E+01  1128   0.271E+01    0.385E+01
DAV:  11    -0.313006252269E+03   -0.12580E+02   -0.30594E+01  1080   0.398E+01    0.946E+01
DAV:  12    -0.294753642352E+03    0.18253E+02   -0.24089E+01  1104   0.192E+01    0.308E+01
DAV:  13    -0.294972628993E+03   -0.21899E+00   -0.15236E+01  1064   0.278E+01    0.407E+01
DAV:  14    -0.292688764766E+03    0.22839E+01   -0.14129E+01  1088   0.191E+01    0.246E+01
DAV:  15    -0.289972838385E+03    0.27159E+01   -0.31811E+00  1072   0.128E+01    0.146E+01
DAV:  16    -0.289695194779E+03    0.27764E+00   -0.19208E+00  1056   0.877E+00    0.155E+01
DAV:  17    -0.289261511823E+03    0.43368E+00   -0.13969E+00  1064   0.794E+00    0.127E+01
DAV:  18    -0.288855228426E+03    0.40628E+00   -0.93642E-01  1016   0.712E+00    0.108E+01
DAV:  19    -0.288760185642E+03    0.95043E-01   -0.10051E+00  1056   0.627E+00    0.978E+00
DAV:  20    -0.288492013960E+03    0.26817E+00   -0.40413E-01  1104   0.431E+00    0.660E+00
DAV:  21    -0.288406029598E+03    0.85984E-01   -0.22264E-01  1088   0.304E+00    0.526E+00
DAV:  22    -0.288372858525E+03    0.33171E-01   -0.18484E-01  1016   0.281E+00    0.457E+00
DAV:  23    -0.288379828806E+03   -0.69703E-02   -0.21551E-01  1112   0.294E+00    0.474E+00
DAV:  24    -0.288323225776E+03    0.56603E-01   -0.18750E-01  1096   0.263E+00    0.317E+00
DAV:  25    -0.288315677086E+03    0.75487E-02   -0.79576E-02  1072   0.160E+00    0.237E+00
DAV:  26    -0.288309845777E+03    0.58313E-02   -0.62103E-02  1032   0.178E+00    0.212E+00
DAV:  27    -0.288311347529E+03   -0.15018E-02   -0.37168E-02  1064   0.135E+00    0.217E+00
DAV:  28    -0.288306561965E+03    0.47856E-02   -0.41961E-02   976   0.144E+00    0.209E+00
DAV:  29    -0.288305149867E+03    0.14121E-02   -0.25429E-02  1088   0.104E+00    0.205E+00
DAV:  30    -0.288293778705E+03    0.11371E-01   -0.24830E-02  1120   0.844E-01    0.872E-01
DAV:  31    -0.288294111483E+03   -0.33278E-03   -0.10900E-02  1088   0.674E-01    0.881E-01
DAV:  32    -0.288292691222E+03    0.14203E-02   -0.43840E-03  1072   0.374E-01    0.367E-01
DAV:  33    -0.288292808874E+03   -0.11765E-03   -0.15867E-03   952   0.327E-01    0.295E-01
DAV:  34    -0.288292918009E+03   -0.10913E-03   -0.78686E-04   744   0.182E-01    0.193E-01
DAV:  35    -0.288293001975E+03   -0.83966E-04   -0.37886E-04   656   0.171E-01
   1 F= -.28829300E+03 E0= -.28776078E+03  d E =-.106444E+01
