 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and      54 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.715720135233E+04    0.71572E+04   -0.38106E+05   880   0.161E+03
DAV:   2     0.434600547106E+03   -0.67226E+04   -0.64843E+04   760   0.515E+02
DAV:   3    -0.260679258023E+03   -0.69528E+03   -0.65494E+03   840   0.175E+02
DAV:   4    -0.303950499113E+03   -0.43271E+02   -0.42791E+02   848   0.388E+01
DAV:   5    -0.305518865475E+03   -0.15684E+01   -0.15664E+01   896   0.781E+00    0.716E+01
DAV:   6    -0.379118292348E+03   -0.73599E+02   -0.74384E+02   880   0.120E+02    0.143E+02
DAV:   7    -0.285437661123E+03    0.93681E+02   -0.14115E+02   848   0.651E+01    0.580E+01
DAV:   8    -0.360065233247E+03   -0.74628E+02   -0.13116E+02  1048   0.858E+01    0.149E+02
DAV:   9    -0.278617794990E+03    0.81447E+02   -0.88726E+01   912   0.480E+01    0.429E+01
DAV:  10    -0.286929793672E+03   -0.83120E+01   -0.50471E+01  1016   0.485E+01    0.793E+01
DAV:  11    -0.280685941404E+03    0.62439E+01   -0.41901E+01   952   0.329E+01    0.443E+01
DAV:  12    -0.275013665538E+03    0.56723E+01   -0.18977E+01   976   0.290E+01    0.310E+01
DAV:  13    -0.273573421677E+03    0.14402E+01   -0.13985E+01   968   0.272E+01    0.351E+01
DAV:  14    -0.270923952360E+03    0.26495E+01   -0.12925E+01   984   0.200E+01    0.239E+01
DAV:  15    -0.269344494379E+03    0.15795E+01   -0.42731E+00   888   0.148E+01    0.156E+01
DAV:  16    -0.268743391834E+03    0.60110E+00   -0.14357E+00   976   0.671E+00    0.133E+01
DAV:  17    -0.268436608830E+03    0.30678E+00   -0.58129E-01   984   0.478E+00    0.124E+01
DAV:  18    -0.268315657648E+03    0.12095E+00   -0.43626E-01   968   0.433E+00    0.122E+01
DAV:  19    -0.267999310748E+03    0.31635E+00   -0.55766E-01   984   0.489E+00    0.988E+00
DAV:  20    -0.267779352630E+03    0.21996E+00   -0.30944E-01   992   0.398E+00    0.808E+00
DAV:  21    -0.267501962064E+03    0.27739E+00   -0.35824E-01  1032   0.436E+00    0.455E+00
DAV:  22    -0.267460301542E+03    0.41661E-01   -0.21057E-01   984   0.288E+00    0.391E+00
DAV:  23    -0.267426401435E+03    0.33900E-01   -0.10285E-01   888   0.222E+00    0.283E+00
DAV:  24    -0.267428982559E+03   -0.25811E-02   -0.88244E-02   928   0.226E+00    0.294E+00
DAV:  25    -0.267404702692E+03    0.24280E-01   -0.63129E-02   984   0.190E+00    0.147E+00
DAV:  26    -0.267406871385E+03   -0.21687E-02   -0.43723E-02   968   0.166E+00    0.176E+00
DAV:  27    -0.267405054137E+03    0.18172E-02   -0.35261E-02   976   0.136E+00    0.137E+00
DAV:  28    -0.267403116065E+03    0.19381E-02   -0.22470E-02   960   0.113E+00    0.121E+00
DAV:  29    -0.267397551554E+03    0.55645E-02   -0.14683E-02   944   0.951E-01    0.604E-01
DAV:  30    -0.267397575833E+03   -0.24279E-04   -0.62557E-03   984   0.622E-01    0.607E-01
DAV:  31    -0.267396267715E+03    0.13081E-02   -0.33316E-03   928   0.449E-01    0.283E-01
DAV:  32    -0.267396236129E+03    0.31586E-04   -0.11125E-03   808   0.223E-01    0.224E-01
DAV:  33    -0.267396296462E+03   -0.60333E-04   -0.46359E-04   624   0.164E-01
   1 F= -.26739630E+03 E0= -.26693516E+03  d E =-.922264E+00
