 running on   12 total cores
 distrk:  each k-point on   12 cores,    1 groups
 distr:  one band on    6 cores,    2 groups
 using from now: INCAR     
 vasp.5.4.4.18Apr17-6-g9f103f2a35 (build Aug 13 2019 17:33:20) gamma-only       
  
 POSCAR found type information on POSCAR  Ty Ty
 POSCAR found :  2 types and      96 ions
 scaLAPACK will be used
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   1 type information:  Ty Ni
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   2 type information:  Ty S 
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.134071794200E+05    0.13407E+05   -0.68436E+05  1540   0.167E+03
DAV:   2     0.871825531650E+03   -0.12535E+05   -0.12130E+05  1326   0.538E+02
DAV:   3    -0.446624304394E+03   -0.13184E+04   -0.12472E+04  1432   0.189E+02
DAV:   4    -0.530827976001E+03   -0.84204E+02   -0.83181E+02  1432   0.430E+01
DAV:   5    -0.534533818480E+03   -0.37058E+01   -0.37002E+01  1712   0.941E+00    0.110E+02
DAV:   6    -0.643677878411E+03   -0.10914E+03   -0.12491E+03  1600   0.131E+02    0.191E+02
DAV:   7    -0.510929465915E+03    0.13275E+03   -0.27242E+02  1456   0.858E+01    0.934E+01
DAV:   8    -0.639094105212E+03   -0.12816E+03   -0.25641E+02  1680   0.122E+02    0.175E+02
DAV:   9    -0.572643628172E+03    0.66450E+02   -0.22257E+02  1656   0.926E+01    0.141E+02
DAV:  10    -0.521493729694E+03    0.51150E+02   -0.16387E+02  1752   0.507E+01    0.859E+01
DAV:  11    -0.558093151994E+03   -0.36599E+02   -0.12884E+02  1776   0.632E+01    0.135E+02
DAV:  12    -0.517436065657E+03    0.40657E+02   -0.85415E+01  1744   0.480E+01    0.667E+01
DAV:  13    -0.493765397630E+03    0.23671E+02   -0.65190E+01  1688   0.485E+01    0.631E+01
DAV:  14    -0.496149649875E+03   -0.23843E+01   -0.63548E+01  1728   0.386E+01    0.710E+01
DAV:  15    -0.483548961822E+03    0.12601E+02   -0.29583E+01  1760   0.249E+01    0.430E+01
DAV:  16    -0.476391527349E+03    0.71574E+01   -0.98012E+00  1752   0.174E+01    0.306E+01
DAV:  17    -0.473647494529E+03    0.27440E+01   -0.43788E+00  1752   0.114E+01    0.265E+01
DAV:  18    -0.472768444908E+03    0.87905E+00   -0.25338E+00  1704   0.853E+00    0.241E+01
DAV:  19    -0.472141891913E+03    0.62655E+00   -0.15210E+00  1712   0.792E+00    0.223E+01
DAV:  20    -0.471118067692E+03    0.10238E+01   -0.12350E+00  1760   0.661E+00    0.190E+01
DAV:  21    -0.469745715382E+03    0.13724E+01   -0.10944E+00  1816   0.676E+00    0.138E+01
DAV:  22    -0.469143269435E+03    0.60245E+00   -0.11915E+00  1776   0.634E+00    0.968E+00
DAV:  23    -0.468839241471E+03    0.30403E+00   -0.73705E-01  1712   0.425E+00    0.598E+00
DAV:  24    -0.468782240403E+03    0.57001E-01   -0.42105E-01  1584   0.351E+00    0.526E+00
DAV:  25    -0.468732523486E+03    0.49717E-01   -0.14270E-01  1608   0.199E+00    0.411E+00
DAV:  26    -0.468697593172E+03    0.34930E-01   -0.10439E-01  1672   0.197E+00    0.330E+00
DAV:  27    -0.468717882815E+03   -0.20290E-01   -0.17903E-01  1704   0.252E+00    0.346E+00
DAV:  28    -0.468690241011E+03    0.27642E-01   -0.16216E-01  1728   0.250E+00    0.261E+00
DAV:  29    -0.468669714816E+03    0.20526E-01   -0.72516E-02  1672   0.155E+00    0.183E+00
DAV:  30    -0.468660961135E+03    0.87537E-02   -0.30373E-02  1712   0.101E+00    0.118E+00
DAV:  31    -0.468660261022E+03    0.70011E-03   -0.13113E-02  1560   0.627E-01    0.103E+00
DAV:  32    -0.468658710855E+03    0.15502E-02   -0.72020E-03  1496   0.556E-01    0.836E-01
DAV:  33    -0.468656556935E+03    0.21539E-02   -0.44073E-03  1720   0.377E-01    0.485E-01
DAV:  34    -0.468656140835E+03    0.41610E-03   -0.22241E-03  1680   0.264E-01    0.338E-01
DAV:  35    -0.468656539956E+03   -0.39912E-03   -0.10980E-03  1416   0.176E-01    0.321E-01
DAV:  36    -0.468656475049E+03    0.64907E-04   -0.79595E-04  1248   0.183E-01
   1 F= -.46865648E+03 E0= -.46799464E+03  d E =-.132367E+01
