 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and      78 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.106512769319E+05    0.10651E+05   -0.55101E+05  1272   0.164E+03
DAV:   2     0.673045660561E+03   -0.99782E+04   -0.96230E+04  1096   0.526E+02
DAV:   3    -0.368613296671E+03   -0.10417E+04   -0.98074E+03  1176   0.182E+02
DAV:   4    -0.436806830541E+03   -0.68194E+02   -0.67296E+02  1176   0.413E+01
DAV:   5    -0.439714608530E+03   -0.29078E+01   -0.29022E+01  1352   0.915E+00    0.857E+01
DAV:   6    -0.532248550820E+03   -0.92534E+02   -0.10456E+03  1256   0.118E+02    0.164E+02
DAV:   7    -0.408577560718E+03    0.12367E+03   -0.19292E+02  1216   0.653E+01    0.666E+01
DAV:   8    -0.583166184120E+03   -0.17459E+03   -0.15492E+02  1312   0.101E+02    0.197E+02
DAV:   9    -0.408972792381E+03    0.17419E+03   -0.18076E+02  1320   0.512E+01    0.682E+01
DAV:  10    -0.407633338972E+03    0.13395E+01   -0.78613E+01  1448   0.480E+01    0.690E+01
DAV:  11    -0.400805332742E+03    0.68280E+01   -0.48782E+01  1440   0.420E+01    0.468E+01
DAV:  12    -0.394509409283E+03    0.62959E+01   -0.28175E+01  1304   0.349E+01    0.372E+01
DAV:  13    -0.389736020724E+03    0.47734E+01   -0.14584E+01  1336   0.246E+01    0.284E+01
DAV:  14    -0.389138559338E+03    0.59746E+00   -0.10395E+01  1336   0.171E+01    0.243E+01
DAV:  15    -0.386844459565E+03    0.22941E+01   -0.32820E+00  1336   0.107E+01    0.154E+01
DAV:  16    -0.386816465007E+03    0.27995E-01   -0.21382E+00  1376   0.685E+00    0.150E+01
DAV:  17    -0.386380011139E+03    0.43645E+00   -0.52695E-01  1376   0.422E+00    0.130E+01
DAV:  18    -0.386218174652E+03    0.16184E+00   -0.86579E-01  1352   0.530E+00    0.123E+01
DAV:  19    -0.385877536916E+03    0.34064E+00   -0.52491E-01  1416   0.431E+00    0.923E+00
DAV:  20    -0.385645579799E+03    0.23196E+00   -0.58702E-01  1432   0.446E+00    0.670E+00
DAV:  21    -0.385511530037E+03    0.13405E+00   -0.21985E-01  1392   0.276E+00    0.369E+00
DAV:  22    -0.385529018399E+03   -0.17488E-01   -0.18692E-01  1384   0.204E+00    0.429E+00
DAV:  23    -0.385490189714E+03    0.38829E-01   -0.16900E-01  1328   0.203E+00    0.278E+00
DAV:  24    -0.385505086145E+03   -0.14896E-01   -0.11816E-01  1432   0.181E+00    0.343E+00
DAV:  25    -0.385481398017E+03    0.23688E-01   -0.81093E-02  1392   0.168E+00    0.221E+00
DAV:  26    -0.385472022617E+03    0.93754E-02   -0.48272E-02  1416   0.150E+00    0.156E+00
DAV:  27    -0.385471166444E+03    0.85617E-03   -0.29829E-02  1424   0.971E-01    0.141E+00
DAV:  28    -0.385465407852E+03    0.57586E-02   -0.14154E-02  1360   0.747E-01    0.781E-01
DAV:  29    -0.385465477223E+03   -0.69371E-04   -0.55580E-03  1376   0.387E-01    0.684E-01
DAV:  30    -0.385464903754E+03    0.57347E-03   -0.32616E-03  1352   0.340E-01    0.560E-01
DAV:  31    -0.385464740527E+03    0.16323E-03   -0.30064E-03  1224   0.329E-01    0.389E-01
DAV:  32    -0.385465035068E+03   -0.29454E-03   -0.17983E-03  1176   0.278E-01    0.342E-01
DAV:  33    -0.385464898507E+03    0.13656E-03   -0.10596E-03  1072   0.216E-01    0.219E-01
DAV:  34    -0.385465121727E+03   -0.22322E-03   -0.66520E-04   864   0.136E-01    0.182E-01
DAV:  35    -0.385465218189E+03   -0.96463E-04   -0.30787E-04   752   0.113E-01
   1 F= -.38546522E+03 E0= -.38486907E+03  d E =-.119230E+01
