 running on   12 total cores
 distrk:  each k-point on   12 cores,    1 groups
 distr:  one band on    6 cores,    2 groups
 using from now: INCAR     
 vasp.5.4.4.18Apr17-6-g9f103f2a35 (build Aug 13 2019 17:33:20) gamma-only       
  
 POSCAR found type information on POSCAR  Ty Ty
 POSCAR found :  2 types and      74 ions
 scaLAPACK will be used
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   1 type information:  Ty Ni
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   2 type information:  Ty S 
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.913207845172E+04    0.91321E+04   -0.52013E+05  1200   0.154E+03
DAV:   2     0.489578810038E+03   -0.86425E+04   -0.83370E+04  1048   0.491E+02
DAV:   3    -0.358128643153E+03   -0.84771E+03   -0.81485E+03  1136   0.163E+02
DAV:   4    -0.402248309045E+03   -0.44120E+02   -0.43670E+02  1120   0.354E+01
DAV:   5    -0.404003528491E+03   -0.17552E+01   -0.17526E+01  1216   0.730E+00    0.100E+02
DAV:   6    -0.483089703052E+03   -0.79086E+02   -0.10309E+03  1224   0.135E+02    0.175E+02
DAV:   7    -0.385970296932E+03    0.97119E+02   -0.23677E+02  1128   0.789E+01    0.843E+01
DAV:   8    -0.474600099474E+03   -0.88630E+02   -0.27270E+02  1296   0.113E+02    0.165E+02
DAV:   9    -0.385448932011E+03    0.89151E+02   -0.19602E+02  1304   0.693E+01    0.787E+01
DAV:  10    -0.383613792212E+03    0.18351E+01   -0.14022E+02  1472   0.611E+01    0.679E+01
DAV:  11    -0.397075419309E+03   -0.13462E+02   -0.10804E+02  1304   0.627E+01    0.825E+01
DAV:  12    -0.374586510381E+03    0.22489E+02   -0.50050E+01  1328   0.402E+01    0.455E+01
DAV:  13    -0.371738293761E+03    0.28482E+01   -0.38438E+01  1368   0.365E+01    0.416E+01
DAV:  14    -0.363679811973E+03    0.80585E+01   -0.16285E+01  1344   0.257E+01    0.347E+01
DAV:  15    -0.358701894214E+03    0.49779E+01   -0.83632E+00  1344   0.189E+01    0.258E+01
DAV:  16    -0.356743854573E+03    0.19580E+01   -0.37192E+00  1352   0.110E+01    0.242E+01
DAV:  17    -0.355391604720E+03    0.13522E+01   -0.21279E+00  1360   0.935E+00    0.214E+01
DAV:  18    -0.354990084794E+03    0.40152E+00   -0.51888E-01  1328   0.286E+00    0.204E+01
DAV:  19    -0.354459914332E+03    0.53017E+00   -0.98496E-02  1432   0.207E+00    0.197E+01
DAV:  20    -0.353507463005E+03    0.95245E+00   -0.30570E-01  1360   0.440E+00    0.181E+01
DAV:  21    -0.351905228917E+03    0.16022E+01   -0.92922E-01  1352   0.719E+00    0.142E+01
DAV:  22    -0.351193355767E+03    0.71187E+00   -0.11961E+00  1344   0.544E+00    0.109E+01
DAV:  23    -0.351116847956E+03    0.76508E-01   -0.31553E-01  1296   0.235E+00    0.101E+01
DAV:  24    -0.350953277183E+03    0.16357E+00   -0.76803E-02  1328   0.189E+00    0.917E+00
DAV:  25    -0.350926104615E+03    0.27173E-01   -0.26762E-01  1296   0.350E+00    0.876E+00
DAV:  26    -0.350761304844E+03    0.16480E+00   -0.12048E+00  1520   0.687E+00    0.900E+00
DAV:  27    -0.350502997542E+03    0.25831E+00   -0.75012E-01  1312   0.428E+00    0.435E+00
DAV:  28    -0.350456660638E+03    0.46337E-01   -0.22232E-01  1320   0.250E+00    0.261E+00
DAV:  29    -0.350447280370E+03    0.93803E-02   -0.68957E-02  1200   0.170E+00    0.194E+00
DAV:  30    -0.350449246494E+03   -0.19661E-02   -0.61443E-02  1240   0.153E+00    0.188E+00
DAV:  31    -0.350468188481E+03   -0.18942E-01   -0.39186E-02  1336   0.126E+00    0.276E+00
DAV:  32    -0.350442995681E+03    0.25193E-01   -0.89526E-02  1456   0.176E+00    0.152E+00
DAV:  33    -0.350435486695E+03    0.75090E-02   -0.24758E-02  1336   0.857E-01    0.722E-01
DAV:  34    -0.350436764625E+03   -0.12779E-02   -0.90280E-03  1328   0.658E-01    0.789E-01
DAV:  35    -0.350434646899E+03    0.21177E-02   -0.29274E-03  1248   0.306E-01    0.448E-01
DAV:  36    -0.350434764617E+03   -0.11772E-03   -0.11940E-03  1160   0.232E-01    0.405E-01
DAV:  37    -0.350434376460E+03    0.38816E-03   -0.16290E-03  1240   0.236E-01    0.186E-01
DAV:  38    -0.350434615832E+03   -0.23937E-03   -0.51565E-04   984   0.141E-01    0.155E-01
DAV:  39    -0.350435034726E+03   -0.41889E-03   -0.22589E-04   648   0.980E-02    0.118E-01
DAV:  40    -0.350435516520E+03   -0.48179E-03   -0.28603E-04   784   0.114E-01    0.260E-01
DAV:  41    -0.350436209771E+03   -0.69325E-03   -0.23810E-04   752   0.659E-02    0.342E-01
DAV:  42    -0.350436275935E+03   -0.66164E-04   -0.14087E-04   680   0.668E-02
   1 F= -.35043628E+03 E0= -.34988251E+03  d E =-.110754E+01
