 running on   12 total cores
 distrk:  each k-point on   12 cores,    1 groups
 distr:  one band on    6 cores,    2 groups
 using from now: INCAR     
 vasp.5.4.4.18Apr17-6-g9f103f2a35 (build Aug 13 2019 17:33:20) gamma-only       
  
 POSCAR found type information on POSCAR  Ty Ty
 POSCAR found :  2 types and      72 ions
 scaLAPACK will be used
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   1 type information:  Ty Ni
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   2 type information:  Ty S 
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.888402237876E+04    0.88840E+04   -0.50627E+05  1176   0.154E+03
DAV:   2     0.486265046632E+03   -0.83978E+04   -0.81028E+04  1020   0.489E+02
DAV:   3    -0.342190935502E+03   -0.82846E+03   -0.79480E+03  1080   0.163E+02
DAV:   4    -0.386626125987E+03   -0.44435E+02   -0.43958E+02  1104   0.361E+01
DAV:   5    -0.388306128071E+03   -0.16800E+01   -0.16770E+01  1168   0.720E+00    0.100E+02
DAV:   6    -0.459205991718E+03   -0.70900E+02   -0.97251E+02  1216   0.131E+02    0.165E+02
DAV:   7    -0.360632308650E+03    0.98574E+02   -0.20284E+02  1072   0.737E+01    0.731E+01
DAV:   8    -0.446351932179E+03   -0.85720E+02   -0.26740E+02  1352   0.954E+01    0.152E+02
DAV:   9    -0.362967547808E+03    0.83384E+02   -0.14602E+02  1264   0.558E+01    0.686E+01
DAV:  10    -0.378203418847E+03   -0.15236E+02   -0.13310E+02  1336   0.629E+01    0.858E+01
DAV:  11    -0.365663538406E+03    0.12540E+02   -0.69139E+01  1304   0.458E+01    0.583E+01
DAV:  12    -0.346091746465E+03    0.19572E+02   -0.33830E+01  1296   0.389E+01    0.314E+01
DAV:  13    -0.344945553504E+03    0.11462E+01   -0.23294E+01  1304   0.328E+01    0.369E+01
DAV:  14    -0.341438240360E+03    0.35073E+01   -0.12695E+01  1312   0.216E+01    0.242E+01
DAV:  15    -0.339433420799E+03    0.20048E+01   -0.36639E+00  1312   0.114E+01    0.158E+01
DAV:  16    -0.338999308920E+03    0.43411E+00   -0.11035E+00  1280   0.539E+00    0.146E+01
DAV:  17    -0.338555493907E+03    0.44382E+00   -0.67492E-01  1184   0.464E+00    0.127E+01
DAV:  18    -0.338286246391E+03    0.26925E+00   -0.50659E-01  1320   0.483E+00    0.122E+01
DAV:  19    -0.337760782789E+03    0.52546E+00   -0.56465E-01  1312   0.488E+00    0.942E+00
DAV:  20    -0.337334199177E+03    0.42658E+00   -0.43958E-01  1384   0.433E+00    0.559E+00
DAV:  21    -0.337236453395E+03    0.97746E-01   -0.40176E-01  1304   0.339E+00    0.428E+00
DAV:  22    -0.337199766665E+03    0.36687E-01   -0.25327E-01  1080   0.305E+00    0.319E+00
DAV:  23    -0.337205104643E+03   -0.53380E-02   -0.12940E-01  1280   0.242E+00    0.298E+00
DAV:  24    -0.337187694962E+03    0.17410E-01   -0.12753E-01  1176   0.245E+00    0.203E+00
DAV:  25    -0.337178906976E+03    0.87880E-02   -0.82897E-02  1312   0.152E+00    0.158E+00
DAV:  26    -0.337172887905E+03    0.60191E-02   -0.33804E-02  1312   0.118E+00    0.125E+00
DAV:  27    -0.337167890301E+03    0.49976E-02   -0.16215E-02  1288   0.902E-01    0.848E-01
DAV:  28    -0.337167133024E+03    0.75728E-03   -0.99392E-03  1288   0.626E-01    0.649E-01
DAV:  29    -0.337166334146E+03    0.79888E-03   -0.41628E-03  1200   0.453E-01    0.490E-01
DAV:  30    -0.337166350955E+03   -0.16810E-04   -0.29782E-03  1328   0.373E-01    0.356E-01
DAV:  31    -0.337166121308E+03    0.22965E-03   -0.14148E-03  1152   0.263E-01    0.238E-01
DAV:  32    -0.337166384505E+03   -0.26320E-03   -0.81020E-04  1024   0.203E-01    0.177E-01
DAV:  33    -0.337166642417E+03   -0.25791E-03   -0.39531E-04   864   0.138E-01    0.188E-01
DAV:  34    -0.337167118044E+03   -0.47563E-03   -0.32435E-04   768   0.120E-01    0.708E-02
DAV:  35    -0.337167612238E+03   -0.49419E-03   -0.19302E-04   680   0.952E-02    0.987E-02
DAV:  36    -0.337168174306E+03   -0.56207E-03   -0.17072E-04   664   0.799E-02    0.501E-02
DAV:  37    -0.337168685479E+03   -0.51117E-03   -0.96397E-05   632   0.515E-02    0.610E-02
DAV:  38    -0.337169110123E+03   -0.42464E-03   -0.85044E-05   592   0.562E-02    0.456E-02
DAV:  39    -0.337169757321E+03   -0.64720E-03   -0.85869E-05   672   0.353E-02    0.435E-02
DAV:  40    -0.337169948786E+03   -0.19146E-03   -0.50810E-05   592   0.393E-02    0.312E-02
DAV:  41    -0.337170167748E+03   -0.21896E-03   -0.30587E-05   576   0.204E-02    0.278E-02
DAV:  42    -0.337170234052E+03   -0.66305E-04   -0.16337E-05   592   0.188E-02
   1 F= -.33717023E+03 E0= -.33660977E+03  d E =-.112093E+01
