 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and      72 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.972065692082E+04    0.97207E+04   -0.50803E+05  1168   0.163E+03
DAV:   2     0.605964580786E+03   -0.91147E+04   -0.88001E+04  1008   0.524E+02
DAV:   3    -0.340521311151E+03   -0.94649E+03   -0.89126E+03  1096   0.180E+02
DAV:   4    -0.403235333070E+03   -0.62714E+02   -0.61813E+02  1104   0.408E+01
DAV:   5    -0.405836071363E+03   -0.26007E+01   -0.25963E+01  1240   0.901E+00    0.818E+01
DAV:   6    -0.489147881701E+03   -0.83312E+02   -0.96808E+02  1160   0.116E+02    0.155E+02
DAV:   7    -0.373133300614E+03    0.11601E+03   -0.17383E+02  1120   0.635E+01    0.604E+01
DAV:   8    -0.467486812646E+03   -0.94354E+02   -0.15850E+02  1376   0.793E+01    0.168E+02
DAV:   9    -0.375387815229E+03    0.92099E+02   -0.11081E+02  1184   0.471E+01    0.796E+01
DAV:  10    -0.374861044149E+03    0.52677E+00   -0.74137E+01  1328   0.325E+01    0.494E+01
DAV:  11    -0.379599075518E+03   -0.47380E+01   -0.34666E+01  1344   0.395E+01    0.826E+01
DAV:  12    -0.366245985037E+03    0.13353E+02   -0.32065E+01  1312   0.272E+01    0.361E+01
DAV:  13    -0.364685445122E+03    0.15605E+01   -0.21185E+01  1312   0.282E+01    0.366E+01
DAV:  14    -0.360324055127E+03    0.43614E+01   -0.10323E+01  1320   0.198E+01    0.255E+01
DAV:  15    -0.358139679034E+03    0.21844E+01   -0.34281E+00  1208   0.125E+01    0.188E+01
DAV:  16    -0.357333450915E+03    0.80623E+00   -0.17390E+00  1312   0.764E+00    0.163E+01
DAV:  17    -0.356627104656E+03    0.70635E+00   -0.10496E+00  1256   0.669E+00    0.134E+01
DAV:  18    -0.356227874490E+03    0.39923E+00   -0.46636E-01  1328   0.402E+00    0.111E+01
DAV:  19    -0.356053762057E+03    0.17411E+00   -0.31263E-01  1288   0.365E+00    0.972E+00
DAV:  20    -0.355846210548E+03    0.20755E+00   -0.18421E-01  1320   0.240E+00    0.809E+00
DAV:  21    -0.355719258056E+03    0.12695E+00   -0.26073E-01  1360   0.289E+00    0.663E+00
DAV:  22    -0.355582106842E+03    0.13715E+00   -0.32112E-01  1376   0.329E+00    0.420E+00
DAV:  23    -0.355547515545E+03    0.34591E-01   -0.19372E-01  1328   0.259E+00    0.307E+00
DAV:  24    -0.355529392813E+03    0.18123E-01   -0.11706E-01  1104   0.193E+00    0.256E+00
DAV:  25    -0.355533939950E+03   -0.45471E-02   -0.69802E-02  1120   0.154E+00    0.271E+00
DAV:  26    -0.355525621879E+03    0.83181E-02   -0.10156E-01  1248   0.150E+00    0.245E+00
DAV:  27    -0.355533018911E+03   -0.73970E-02   -0.89909E-02  1272   0.164E+00    0.263E+00
DAV:  28    -0.355512681890E+03    0.20337E-01   -0.65834E-02  1304   0.149E+00    0.124E+00
DAV:  29    -0.355514646597E+03   -0.19647E-02   -0.26584E-02  1272   0.117E+00    0.128E+00
DAV:  30    -0.355511777015E+03    0.28696E-02   -0.12278E-02  1224   0.697E-01    0.968E-01
DAV:  31    -0.355509070499E+03    0.27065E-02   -0.55043E-03  1240   0.506E-01    0.540E-01
DAV:  32    -0.355509508256E+03   -0.43776E-03   -0.18919E-03  1208   0.274E-01    0.566E-01
DAV:  33    -0.355508817707E+03    0.69055E-03   -0.98586E-04   992   0.218E-01    0.317E-01
DAV:  34    -0.355509174107E+03   -0.35640E-03   -0.63473E-04   984   0.172E-01    0.283E-01
DAV:  35    -0.355509199566E+03   -0.25459E-04   -0.46096E-04   872   0.160E-01
   1 F= -.35550920E+03 E0= -.35495059E+03  d E =-.111722E+01
