 running on   12 total cores
 distrk:  each k-point on   12 cores,    1 groups
 distr:  one band on    6 cores,    2 groups
 using from now: INCAR     
 vasp.5.4.4.18Apr17-6-g9f103f2a35 (build Aug 13 2019 17:33:20) gamma-only       
  
 POSCAR found type information on POSCAR  Ty Ty
 POSCAR found :  2 types and      52 ions
 scaLAPACK will be used
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   1 type information:  Ty Ni
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   2 type information:  Ty S 
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.646447380398E+04    0.64645E+04   -0.36617E+05   848   0.154E+03
DAV:   2     0.345902764982E+03   -0.61186E+04   -0.59095E+04   736   0.492E+02
DAV:   3    -0.252903875274E+03   -0.59881E+03   -0.57629E+03   800   0.164E+02
DAV:   4    -0.284395652008E+03   -0.31492E+02   -0.31123E+02   808   0.353E+01
DAV:   5    -0.285472344433E+03   -0.10767E+01   -0.10750E+01   840   0.687E+00    0.851E+01
DAV:   6    -0.333727110545E+03   -0.48255E+02   -0.71901E+02   872   0.129E+02    0.141E+02
DAV:   7    -0.270268302019E+03    0.63459E+02   -0.20029E+02   800   0.784E+01    0.688E+01
DAV:   8    -0.296816280561E+03   -0.26548E+02   -0.17605E+02   928   0.837E+01    0.856E+01
DAV:   9    -0.269094141393E+03    0.27722E+02   -0.80454E+01   928   0.572E+01    0.539E+01
DAV:  10    -0.289552884486E+03   -0.20459E+02   -0.99409E+01   928   0.762E+01    0.773E+01
DAV:  11    -0.271746148333E+03    0.17807E+02   -0.52072E+01   960   0.471E+01    0.488E+01
DAV:  12    -0.258909114079E+03    0.12837E+02   -0.29560E+01   944   0.366E+01    0.247E+01
DAV:  13    -0.255618975828E+03    0.32901E+01   -0.12391E+01   952   0.260E+01    0.232E+01
DAV:  14    -0.253124198891E+03    0.24948E+01   -0.56770E+00   928   0.180E+01    0.179E+01
DAV:  15    -0.252374792740E+03    0.74941E+00   -0.14050E+00   952   0.669E+00    0.167E+01
DAV:  16    -0.252434079441E+03   -0.59287E-01   -0.22324E-01   744   0.157E+00    0.166E+01
DAV:  17    -0.252277510597E+03    0.15657E+00   -0.16018E-02   848   0.112E+00    0.165E+01
DAV:  18    -0.252151879322E+03    0.12563E+00   -0.42936E-02   952   0.181E+00    0.165E+01
DAV:  19    -0.252412026727E+03   -0.26015E+00   -0.27445E-02   896   0.145E+00    0.166E+01
DAV:  20    -0.251893380895E+03    0.51865E+00   -0.18636E-01   880   0.429E+00    0.173E+01
DAV:  21    -0.250416726814E+03    0.14767E+01   -0.19347E+00   936   0.102E+01    0.239E+01
DAV:  22    -0.250417959208E+03   -0.12324E-02   -0.11099E+00   952   0.505E+00    0.299E+01
DAV:  23    -0.250727778783E+03   -0.30982E+00   -0.85602E-01   880   0.525E+00    0.417E+01
DAV:  24    -0.250978468276E+03   -0.25069E+00   -0.25602E-01   848   0.270E+00    0.453E+01
DAV:  25    -0.251280002864E+03   -0.30153E+00   -0.68860E-02   952   0.208E+00    0.472E+01
DAV:  26    -0.251159134170E+03    0.12087E+00   -0.18413E-02   856   0.755E-01    0.463E+01
DAV:  27    -0.251333549604E+03   -0.17442E+00   -0.73627E-03   936   0.566E-01    0.477E+01
DAV:  28    -0.250870615337E+03    0.46293E+00   -0.51484E-02   920   0.137E+00    0.431E+01
DAV:  29    -0.250744599143E+03    0.12602E+00   -0.28552E-02   848   0.564E-01    0.420E+01
DAV:  30    -0.249717008700E+03    0.10276E+01   -0.32282E-01  1048   0.493E+00    0.336E+01
DAV:  31    -0.249650246324E+03    0.66762E-01   -0.23941E-01   872   0.300E+00    0.309E+01
DAV:  32    -0.249170530234E+03    0.47972E+00   -0.30219E-01   856   0.318E+00    0.232E+01
DAV:  33    -0.248674734562E+03    0.49580E+00   -0.15282E+00   936   0.636E+00    0.656E+00
DAV:  34    -0.248716477939E+03   -0.41743E-01   -0.83846E-01   752   0.330E+00    0.441E+00
DAV:  35    -0.248701020278E+03    0.15458E-01   -0.42901E-02   784   0.832E-01    0.384E+00
DAV:  36    -0.248699514073E+03    0.15062E-02   -0.16227E-03   696   0.129E-01    0.378E+00
DAV:  37    -0.248725474009E+03   -0.25960E-01   -0.17344E-02   952   0.704E-01    0.443E+00
DAV:  38    -0.248689059060E+03    0.36415E-01   -0.18071E-02   944   0.688E-01    0.334E+00
DAV:  39    -0.248829330643E+03   -0.14027E+00   -0.12131E-01   984   0.172E+00    0.785E+00
DAV:  40    -0.248836694414E+03   -0.73638E-02   -0.31007E-02   896   0.991E-01    0.910E+00
DAV:  41    -0.248701801306E+03    0.13489E+00   -0.17132E-01   968   0.144E+00    0.746E+00
DAV:  42    -0.248648727188E+03    0.53074E-01   -0.13186E-01  1008   0.164E+00    0.488E+00
DAV:  43    -0.248660448410E+03   -0.11721E-01   -0.56671E-02   928   0.115E+00    0.263E+00
DAV:  44    -0.248653313814E+03    0.71346E-02   -0.15736E-02   760   0.643E-01    0.206E+00
DAV:  45    -0.248653118012E+03    0.19580E-03   -0.17565E-03   744   0.226E-01    0.184E+00
DAV:  46    -0.248656881221E+03   -0.37632E-02   -0.18464E-03   872   0.308E-01    0.160E+00
DAV:  47    -0.248654079308E+03    0.28019E-02   -0.18673E-03   848   0.282E-01    0.118E+00
DAV:  48    -0.248651519824E+03    0.25595E-02   -0.15001E-03   880   0.255E-01    0.992E-01
DAV:  49    -0.248653793851E+03   -0.22740E-02   -0.10192E-03   792   0.207E-01    0.992E-01
DAV:  50    -0.248651846496E+03    0.19474E-02   -0.47244E-04   536   0.177E-01    0.885E-01
DAV:  51    -0.248652027036E+03   -0.18054E-03   -0.16910E-04   472   0.919E-02    0.845E-01
