 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and      72 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.981739761434E+04    0.98174E+04   -0.50787E+05  1168   0.164E+03
DAV:   2     0.626368519407E+03   -0.91910E+04   -0.88608E+04  1016   0.526E+02
DAV:   3    -0.342019231385E+03   -0.96839E+03   -0.91255E+03  1112   0.182E+02
DAV:   4    -0.405158413136E+03   -0.63139E+02   -0.62405E+02  1136   0.409E+01
DAV:   5    -0.407485068102E+03   -0.23267E+01   -0.23220E+01  1216   0.834E+00    0.818E+01
DAV:   6    -0.491817699336E+03   -0.84333E+02   -0.97020E+02  1144   0.116E+02    0.156E+02
DAV:   7    -0.379121690889E+03    0.11270E+03   -0.18760E+02  1120   0.673E+01    0.645E+01
DAV:   8    -0.496030357043E+03   -0.11691E+03   -0.13419E+02  1224   0.986E+01    0.163E+02
DAV:   9    -0.387111348684E+03    0.10892E+03   -0.14368E+02  1192   0.603E+01    0.944E+01
DAV:  10    -0.376164864017E+03    0.10946E+02   -0.66542E+01  1312   0.367E+01    0.468E+01
DAV:  11    -0.391330268991E+03   -0.15165E+02   -0.48622E+01  1304   0.490E+01    0.962E+01
DAV:  12    -0.378360523878E+03    0.12970E+02   -0.53636E+01  1312   0.349E+01    0.499E+01
DAV:  13    -0.369866078519E+03    0.84944E+01   -0.22127E+01  1392   0.330E+01    0.404E+01
DAV:  14    -0.365608740058E+03    0.42573E+01   -0.15554E+01  1264   0.239E+01    0.309E+01
DAV:  15    -0.362004147818E+03    0.36046E+01   -0.63792E+00  1280   0.170E+01    0.244E+01
DAV:  16    -0.360885227667E+03    0.11189E+01   -0.31296E+00  1240   0.116E+01    0.208E+01
DAV:  17    -0.360068698232E+03    0.81653E+00   -0.10837E+00  1312   0.581E+00    0.185E+01
DAV:  18    -0.359232046988E+03    0.83665E+00   -0.53544E-01  1320   0.509E+00    0.166E+01
DAV:  19    -0.358407455290E+03    0.82459E+00   -0.75809E-01  1320   0.599E+00    0.135E+01
DAV:  20    -0.357859003947E+03    0.54845E+00   -0.68331E-01  1336   0.514E+00    0.101E+01
DAV:  21    -0.357638583198E+03    0.22042E+00   -0.43032E-01  1296   0.328E+00    0.108E+01
DAV:  22    -0.357497207758E+03    0.14138E+00   -0.28657E-01  1120   0.173E+00    0.695E+00
DAV:  23    -0.357465287399E+03    0.31920E-01   -0.10427E-01  1224   0.217E+00    0.654E+00
DAV:  24    -0.357403957973E+03    0.61329E-01   -0.19492E-01  1232   0.272E+00    0.483E+00
DAV:  25    -0.357479542059E+03   -0.75584E-01   -0.25216E-01  1336   0.308E+00    0.798E+00
DAV:  26    -0.357447747133E+03    0.31795E-01   -0.16351E-01  1328   0.265E+00    0.709E+00
DAV:  27    -0.357372724358E+03    0.75023E-01   -0.10313E-01  1304   0.224E+00    0.461E+00
DAV:  28    -0.357349679003E+03    0.23045E-01   -0.91009E-02  1272   0.166E+00    0.272E+00
DAV:  29    -0.357335964416E+03    0.13715E-01   -0.39405E-02  1280   0.133E+00    0.171E+00
DAV:  30    -0.357330604813E+03    0.53596E-02   -0.14157E-02  1320   0.603E-01    0.905E-01
DAV:  31    -0.357330592791E+03    0.12022E-04   -0.49042E-03  1216   0.488E-01    0.730E-01
DAV:  32    -0.357331152039E+03   -0.55925E-03   -0.29934E-03  1264   0.362E-01    0.786E-01
DAV:  33    -0.357330752758E+03    0.39928E-03   -0.25528E-03  1208   0.364E-01    0.711E-01
DAV:  34    -0.357330085404E+03    0.66735E-03   -0.35985E-03  1232   0.284E-01    0.325E-01
DAV:  35    -0.357330317398E+03   -0.23199E-03   -0.11632E-03  1032   0.227E-01    0.259E-01
DAV:  36    -0.357330963571E+03   -0.64617E-03   -0.54075E-04   856   0.138E-01    0.386E-01
DAV:  37    -0.357330960851E+03    0.27201E-05   -0.25506E-04   656   0.124E-01
   1 F= -.35733096E+03 E0= -.35679356E+03  d E =-.107480E+01
