 running on   12 total cores
 distrk:  each k-point on   12 cores,    1 groups
 distr:  one band on    6 cores,    2 groups
 using from now: INCAR     
 vasp.5.4.4.18Apr17-6-g9f103f2a35 (build Aug 13 2019 17:33:20) gamma-only       
  
 POSCAR found type information on POSCAR  Ty Ty
 POSCAR found :  2 types and      96 ions
 scaLAPACK will be used
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   1 type information:  Ty Ni
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   2 type information:  Ty S 
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.135947393629E+05    0.13595E+05   -0.68481E+05  1532   0.168E+03
DAV:   2     0.878539236251E+03   -0.12716E+05   -0.12269E+05  1334   0.543E+02
DAV:   3    -0.448141197480E+03   -0.13267E+04   -0.12567E+04  1432   0.192E+02
DAV:   4    -0.533483283045E+03   -0.85342E+02   -0.84179E+02  1472   0.432E+01
DAV:   5    -0.536786066246E+03   -0.33028E+01   -0.32967E+01  1680   0.910E+00    0.110E+02
DAV:   6    -0.626749315288E+03   -0.89963E+02   -0.12479E+03  1584   0.122E+02    0.175E+02
DAV:   7    -0.493949225591E+03    0.13280E+03   -0.26798E+02  1432   0.822E+01    0.762E+01
DAV:   8    -0.593295936631E+03   -0.99347E+02   -0.29424E+02  1656   0.988E+01    0.164E+02
DAV:   9    -0.511659837379E+03    0.81636E+02   -0.16724E+02  1616   0.593E+01    0.734E+01
DAV:  10    -0.570429487904E+03   -0.58770E+02   -0.13861E+02  1784   0.767E+01    0.138E+02
DAV:  11    -0.533748136192E+03    0.36681E+02   -0.10320E+02  1728   0.590E+01    0.108E+02
DAV:  12    -0.505403060192E+03    0.28345E+02   -0.62687E+01  1704   0.347E+01    0.565E+01
DAV:  13    -0.489995751452E+03    0.15407E+02   -0.38931E+01  1672   0.357E+01    0.380E+01
DAV:  14    -0.483405817571E+03    0.65899E+01   -0.21192E+01  1752   0.289E+01    0.379E+01
DAV:  15    -0.479555704770E+03    0.38501E+01   -0.12141E+01  1680   0.189E+01    0.269E+01
DAV:  16    -0.477809156526E+03    0.17465E+01   -0.30429E+00  1720   0.793E+00    0.233E+01
DAV:  17    -0.476701279667E+03    0.11079E+01   -0.10782E+00  1704   0.590E+00    0.209E+01
DAV:  18    -0.475986682637E+03    0.71460E+00   -0.42583E-01  1728   0.323E+00    0.196E+01
DAV:  19    -0.475294455700E+03    0.69223E+00   -0.23563E-01  1736   0.278E+00    0.180E+01
DAV:  20    -0.474165881572E+03    0.11286E+01   -0.43020E-01  1784   0.438E+00    0.150E+01
DAV:  21    -0.472624726920E+03    0.15412E+01   -0.11570E+00  1848   0.665E+00    0.837E+00
DAV:  22    -0.472452023847E+03    0.17270E+00   -0.65691E-01  1728   0.313E+00    0.628E+00
DAV:  23    -0.472365760244E+03    0.86264E-01   -0.13588E-01  1576   0.183E+00    0.523E+00
DAV:  24    -0.472336003259E+03    0.29757E-01   -0.89657E-02  1720   0.178E+00    0.480E+00
DAV:  25    -0.472283402717E+03    0.52601E-01   -0.10709E-01  1464   0.210E+00    0.355E+00
DAV:  26    -0.472296786506E+03   -0.13384E-01   -0.24090E-01  1840   0.301E+00    0.382E+00
DAV:  27    -0.472252917734E+03    0.43869E-01   -0.13269E-01  1712   0.204E+00    0.255E+00
DAV:  28    -0.472232896724E+03    0.20021E-01   -0.57244E-02  1504   0.124E+00    0.173E+00
DAV:  29    -0.472223858497E+03    0.90382E-02   -0.32182E-02  1728   0.941E-01    0.104E+00
DAV:  30    -0.472227987647E+03   -0.41291E-02   -0.18220E-02  1720   0.685E-01    0.120E+00
DAV:  31    -0.472222001926E+03    0.59857E-02   -0.17786E-02  1448   0.783E-01    0.531E-01
DAV:  32    -0.472222768344E+03   -0.76642E-03   -0.53462E-03  1664   0.409E-01    0.522E-01
DAV:  33    -0.472222194814E+03    0.57353E-03   -0.27553E-03  1560   0.325E-01    0.328E-01
DAV:  34    -0.472222396796E+03   -0.20198E-03   -0.16009E-03  1512   0.250E-01    0.329E-01
DAV:  35    -0.472222454956E+03   -0.58160E-04   -0.10183E-03  1304   0.208E-01    0.209E-01
DAV:  36    -0.472222617989E+03   -0.16303E-03   -0.54452E-04  1200   0.150E-01    0.198E-01
DAV:  37    -0.472222940796E+03   -0.32281E-03   -0.60169E-04  1120   0.142E-01    0.136E-01
DAV:  38    -0.472222991981E+03   -0.51185E-04   -0.15047E-04   792   0.810E-02
   1 F= -.47222299E+03 E0= -.47160947E+03  d E =-.122704E+01
