 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and      76 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.928207220049E+04    0.92821E+04   -0.52900E+05  1232   0.154E+03
DAV:   2     0.507765087898E+03   -0.87743E+04   -0.84578E+04  1080   0.491E+02
DAV:   3    -0.368403610377E+03   -0.87617E+03   -0.83063E+03  1160   0.159E+02
DAV:   4    -0.420399332965E+03   -0.51996E+02   -0.51415E+02  1152   0.359E+01
DAV:   5    -0.422384399456E+03   -0.19851E+01   -0.19815E+01  1304   0.740E+00    0.846E+01
DAV:   6    -0.540487886794E+03   -0.11810E+03   -0.11187E+03  1216   0.127E+02    0.180E+02
DAV:   7    -0.397641839043E+03    0.14285E+03   -0.20966E+02  1152   0.624E+01    0.757E+01
DAV:   8    -0.418632116728E+03   -0.20990E+02   -0.19744E+02  1448   0.866E+01    0.113E+02
DAV:   9    -0.394768619690E+03    0.23863E+02   -0.12759E+02  1320   0.568E+01    0.718E+01
DAV:  10    -0.374140868702E+03    0.20628E+02   -0.54497E+01  1384   0.423E+01    0.494E+01
DAV:  11    -0.392002051692E+03   -0.17861E+02   -0.52712E+01  1440   0.404E+01    0.914E+01
DAV:  12    -0.378465574724E+03    0.13536E+02   -0.34017E+01  1384   0.181E+01    0.398E+01
DAV:  13    -0.372697857144E+03    0.57677E+01   -0.17993E+01  1320   0.274E+01    0.326E+01
DAV:  14    -0.370518197687E+03    0.21797E+01   -0.10302E+01  1392   0.195E+01    0.305E+01
DAV:  15    -0.367801116490E+03    0.27171E+01   -0.54339E+00  1304   0.150E+01    0.199E+01
DAV:  16    -0.367046105753E+03    0.75501E+00   -0.31511E+00  1368   0.107E+01    0.181E+01
DAV:  17    -0.366138514054E+03    0.90759E+00   -0.32054E+00  1344   0.918E+00    0.102E+01
DAV:  18    -0.365890564394E+03    0.24795E+00   -0.99236E-01  1392   0.524E+00    0.740E+00
DAV:  19    -0.366197858919E+03   -0.30729E+00   -0.96637E-01  1280   0.585E+00    0.119E+01
DAV:  20    -0.365885096216E+03    0.31276E+00   -0.78958E-01  1176   0.473E+00    0.683E+00
DAV:  21    -0.365882399411E+03    0.26968E-02   -0.40292E-01  1384   0.408E+00    0.625E+00
DAV:  22    -0.365830381442E+03    0.52018E-01   -0.37231E-01  1352   0.337E+00    0.581E+00
DAV:  23    -0.365836314736E+03   -0.59333E-02   -0.50196E-01  1296   0.280E+00    0.681E+00
DAV:  24    -0.365762685890E+03    0.73629E-01   -0.19521E-01  1360   0.204E+00    0.376E+00
DAV:  25    -0.365731699949E+03    0.30986E-01   -0.80795E-02  1368   0.167E+00    0.284E+00
DAV:  26    -0.365721730150E+03    0.99698E-02   -0.35738E-02  1384   0.110E+00    0.231E+00
DAV:  27    -0.365712207401E+03    0.95227E-02   -0.27315E-02  1368   0.976E-01    0.172E+00
DAV:  28    -0.365714054301E+03   -0.18469E-02   -0.19723E-02  1376   0.830E-01    0.191E+00
DAV:  29    -0.365709166703E+03    0.48876E-02   -0.21005E-02  1352   0.735E-01    0.147E+00
DAV:  30    -0.365704978860E+03    0.41878E-02   -0.10818E-02  1384   0.709E-01    0.970E-01
DAV:  31    -0.365703655497E+03    0.13234E-02   -0.95799E-03  1368   0.552E-01    0.702E-01
DAV:  32    -0.365703143000E+03    0.51250E-03   -0.37861E-03  1360   0.397E-01    0.559E-01
DAV:  33    -0.365702733901E+03    0.40910E-03   -0.19777E-03  1192   0.257E-01    0.365E-01
DAV:  34    -0.365702781609E+03   -0.47708E-04   -0.14433E-03  1112   0.262E-01    0.296E-01
DAV:  35    -0.365702909543E+03   -0.12793E-03   -0.85359E-04   904   0.167E-01    0.210E-01
DAV:  36    -0.365703096460E+03   -0.18692E-03   -0.43601E-04   896   0.160E-01    0.149E-01
DAV:  37    -0.365703728162E+03   -0.63170E-03   -0.27730E-04   736   0.121E-01    0.182E-01
DAV:  38    -0.365704114209E+03   -0.38605E-03   -0.34796E-04   872   0.140E-01    0.141E-01
DAV:  39    -0.365704791803E+03   -0.67759E-03   -0.20420E-04   664   0.978E-02    0.104E-01
DAV:  40    -0.365705122882E+03   -0.33108E-03   -0.16570E-04   640   0.955E-02    0.793E-02
DAV:  41    -0.365705780026E+03   -0.65714E-03   -0.15301E-04   720   0.682E-02    0.994E-02
DAV:  42    -0.365706042720E+03   -0.26269E-03   -0.99066E-05   632   0.662E-02    0.781E-02
DAV:  43    -0.365706738151E+03   -0.69543E-03   -0.11152E-04   696   0.498E-02    0.633E-02
DAV:  44    -0.365706977560E+03   -0.23941E-03   -0.80898E-05   640   0.536E-02    0.385E-02
DAV:  45    -0.365707297893E+03   -0.32033E-03   -0.63477E-05   656   0.347E-02    0.489E-02
DAV:  46    -0.365707362575E+03   -0.64682E-04   -0.42770E-05   624   0.308E-02
   1 F= -.36570736E+03 E0= -.36505468E+03  d E =-.130537E+01
