 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and      72 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.960436941048E+04    0.96044E+04   -0.50806E+05  1184   0.162E+03
DAV:   2     0.572843843209E+03   -0.90315E+04   -0.86959E+04  1024   0.517E+02
DAV:   3    -0.346067031875E+03   -0.91891E+03   -0.86855E+03  1104   0.175E+02
DAV:   4    -0.403673468065E+03   -0.57606E+02   -0.56973E+02  1128   0.393E+01
DAV:   5    -0.405799325341E+03   -0.21259E+01   -0.21230E+01  1216   0.805E+00    0.819E+01
DAV:   6    -0.488829939983E+03   -0.83031E+02   -0.96138E+02  1168   0.118E+02    0.157E+02
DAV:   7    -0.375199434622E+03    0.11363E+03   -0.17578E+02  1104   0.637E+01    0.618E+01
DAV:   8    -0.417337413119E+03   -0.42138E+02   -0.16439E+02  1328   0.642E+01    0.148E+02
DAV:   9    -0.370900846386E+03    0.46437E+02   -0.89006E+01  1248   0.370E+01    0.492E+01
DAV:  10    -0.385006887612E+03   -0.14106E+02   -0.56512E+01  1352   0.472E+01    0.808E+01
DAV:  11    -0.375991023561E+03    0.90159E+01   -0.60871E+01  1296   0.410E+01    0.556E+01
DAV:  12    -0.366338598933E+03    0.96524E+01   -0.29849E+01  1344   0.313E+01    0.364E+01
DAV:  13    -0.362995978315E+03    0.33426E+01   -0.15771E+01  1280   0.250E+01    0.337E+01
DAV:  14    -0.361590619798E+03    0.14054E+01   -0.14752E+01  1264   0.174E+01    0.273E+01
DAV:  15    -0.358868669062E+03    0.27220E+01   -0.98424E+00  1256   0.123E+01    0.199E+01
DAV:  16    -0.358039600898E+03    0.82907E+00   -0.17513E+00  1304   0.781E+00    0.183E+01
DAV:  17    -0.357213213467E+03    0.82639E+00   -0.10565E+00  1296   0.614E+00    0.147E+01
DAV:  18    -0.356832847766E+03    0.38037E+00   -0.49196E-01  1296   0.414E+00    0.131E+01
DAV:  19    -0.356421074124E+03    0.41177E+00   -0.47097E-01  1328   0.390E+00    0.113E+01
DAV:  20    -0.356173825115E+03    0.24725E+00   -0.26876E-01  1296   0.286E+00    0.980E+00
DAV:  21    -0.355988387183E+03    0.18544E+00   -0.16971E-01  1320   0.273E+00    0.857E+00
DAV:  22    -0.355760381506E+03    0.22801E+00   -0.16144E-01  1352   0.247E+00    0.593E+00
DAV:  23    -0.355647163693E+03    0.11322E+00   -0.16582E-01  1312   0.257E+00    0.444E+00
DAV:  24    -0.355614895262E+03    0.32268E-01   -0.12020E-01  1256   0.230E+00    0.372E+00
DAV:  25    -0.355595847322E+03    0.19048E-01   -0.87262E-02  1288   0.166E+00    0.311E+00
DAV:  26    -0.355588332993E+03    0.75143E-02   -0.80994E-02  1296   0.153E+00    0.251E+00
DAV:  27    -0.355590058914E+03   -0.17259E-02   -0.78840E-02  1208   0.162E+00    0.241E+00
DAV:  28    -0.355574271120E+03    0.15788E-01   -0.60073E-02  1232   0.150E+00    0.141E+00
DAV:  29    -0.355574823293E+03   -0.55217E-03   -0.27369E-02  1296   0.983E-01    0.142E+00
DAV:  30    -0.355568491018E+03    0.63323E-02   -0.14347E-02  1160   0.740E-01    0.642E-01
DAV:  31    -0.355568889906E+03   -0.39889E-03   -0.39296E-03  1248   0.400E-01    0.459E-01
DAV:  32    -0.355569646309E+03   -0.75640E-03   -0.48397E-03  1192   0.329E-01    0.457E-01
DAV:  33    -0.355569647103E+03   -0.79336E-06   -0.18418E-03  1056   0.250E-01    0.362E-01
DAV:  34    -0.355569680546E+03   -0.33443E-04   -0.11848E-03   912   0.190E-01    0.210E-01
DAV:  35    -0.355569998340E+03   -0.31779E-03   -0.50606E-04   880   0.174E-01    0.205E-01
DAV:  36    -0.355570245543E+03   -0.24720E-03   -0.22118E-04   584   0.117E-01    0.883E-02
DAV:  37    -0.355570448036E+03   -0.20249E-03   -0.11336E-04   608   0.819E-02    0.807E-02
DAV:  38    -0.355570897522E+03   -0.44949E-03   -0.12814E-04   648   0.625E-02    0.489E-02
DAV:  39    -0.355571245857E+03   -0.34834E-03   -0.92429E-05   600   0.636E-02    0.674E-02
DAV:  40    -0.355571918009E+03   -0.67215E-03   -0.10344E-04   640   0.573E-02    0.550E-02
DAV:  41    -0.355572272477E+03   -0.35447E-03   -0.67079E-05   616   0.509E-02    0.596E-02
DAV:  42    -0.355572761632E+03   -0.48915E-03   -0.75637E-05   616   0.423E-02    0.377E-02
DAV:  43    -0.355573013726E+03   -0.25209E-03   -0.40326E-05   592   0.334E-02    0.444E-02
DAV:  44    -0.355573257103E+03   -0.24338E-03   -0.39528E-05   600   0.314E-02    0.281E-02
DAV:  45    -0.355573405536E+03   -0.14843E-03   -0.24750E-05   600   0.207E-02    0.281E-02
DAV:  46    -0.355573488387E+03   -0.82852E-04   -0.18659E-05   584   0.208E-02
   1 F= -.35557349E+03 E0= -.35503744E+03  d E =-.107209E+01
