 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and      72 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.857825881104E+04    0.85783E+04   -0.49864E+05  1184   0.152E+03
DAV:   2     0.468652667283E+03   -0.81096E+04   -0.78177E+04  1024   0.480E+02
DAV:   3    -0.348897518083E+03   -0.81755E+03   -0.77355E+03  1120   0.155E+02
DAV:   4    -0.396899324527E+03   -0.48002E+02   -0.47470E+02  1136   0.350E+01
DAV:   5    -0.398591122789E+03   -0.16918E+01   -0.16895E+01  1216   0.693E+00    0.823E+01
DAV:   6    -0.515062581586E+03   -0.11647E+03   -0.10603E+03  1144   0.128E+02    0.179E+02
DAV:   7    -0.377860612078E+03    0.13720E+03   -0.19741E+02  1112   0.617E+01    0.756E+01
DAV:   8    -0.379425591142E+03   -0.15650E+01   -0.18826E+02  1360   0.795E+01    0.966E+01
DAV:   9    -0.365051612697E+03    0.14374E+02   -0.11703E+02  1296   0.542E+01    0.704E+01
DAV:  10    -0.362074527690E+03    0.29771E+01   -0.76391E+01  1328   0.395E+01    0.705E+01
DAV:  11    -0.364839406010E+03   -0.27649E+01   -0.61626E+01  1368   0.305E+01    0.575E+01
DAV:  12    -0.352704527423E+03    0.12135E+02   -0.34587E+01  1256   0.355E+01    0.473E+01
DAV:  13    -0.348267667044E+03    0.44369E+01   -0.39305E+01  1312   0.216E+01    0.238E+01
DAV:  14    -0.349143487480E+03   -0.87582E+00   -0.12601E+01  1296   0.214E+01    0.391E+01
DAV:  15    -0.347179627367E+03    0.19639E+01   -0.16038E+01  1288   0.162E+01    0.221E+01
DAV:  16    -0.345714333173E+03    0.14653E+01   -0.33974E+00  1280   0.114E+01    0.168E+01
DAV:  17    -0.345690492271E+03    0.23841E-01   -0.28709E+00  1296   0.100E+01    0.224E+01
DAV:  18    -0.344835584943E+03    0.85491E+00   -0.34651E+00  1288   0.580E+00    0.115E+01
DAV:  19    -0.344451482096E+03    0.38410E+00   -0.58596E-01  1312   0.460E+00    0.738E+00
DAV:  20    -0.344579882878E+03   -0.12840E+00   -0.88610E-01  1288   0.477E+00    0.965E+00
DAV:  21    -0.344404181205E+03    0.17570E+00   -0.60032E-01  1232   0.401E+00    0.649E+00
DAV:  22    -0.344444662801E+03   -0.40482E-01   -0.41728E-01  1360   0.387E+00    0.712E+00
DAV:  23    -0.344376416625E+03    0.68246E-01   -0.34176E-01  1168   0.399E+00    0.524E+00
DAV:  24    -0.344408310931E+03   -0.31894E-01   -0.26446E-01  1312   0.354E+00    0.620E+00
DAV:  25    -0.344309335335E+03    0.98976E-01   -0.14443E-01  1248   0.248E+00    0.333E+00
DAV:  26    -0.344317056473E+03   -0.77211E-02   -0.68272E-02  1304   0.168E+00    0.357E+00
DAV:  27    -0.344299282967E+03    0.17774E-01   -0.40134E-02  1304   0.128E+00    0.276E+00
DAV:  28    -0.344292425278E+03    0.68577E-02   -0.23729E-02  1312   0.999E-01    0.246E+00
DAV:  29    -0.344279622537E+03    0.12803E-01   -0.17123E-02  1312   0.782E-01    0.189E+00
DAV:  30    -0.344277767119E+03    0.18554E-02   -0.10776E-02  1304   0.656E-01    0.164E+00
DAV:  31    -0.344270982857E+03    0.67843E-02   -0.94072E-03  1304   0.601E-01    0.109E+00
DAV:  32    -0.344269628448E+03    0.13544E-02   -0.75117E-03  1240   0.641E-01    0.765E-01
DAV:  33    -0.344271022851E+03   -0.13944E-02   -0.58213E-03  1256   0.482E-01    0.876E-01
DAV:  34    -0.344269063811E+03    0.19590E-02   -0.31191E-03  1064   0.405E-01    0.500E-01
DAV:  35    -0.344269200199E+03   -0.13639E-03   -0.17385E-03  1096   0.233E-01    0.383E-01
DAV:  36    -0.344269206377E+03   -0.61785E-05   -0.96366E-04  1008   0.216E-01
   1 F= -.34426921E+03 E0= -.34362012E+03  d E =-.129817E+01
