 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and      74 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.894159264855E+04    0.89416E+04   -0.51533E+05  1200   0.154E+03
DAV:   2     0.494595558030E+03   -0.84470E+04   -0.81501E+04  1040   0.490E+02
DAV:   3    -0.358424553255E+03   -0.85302E+03   -0.80724E+03  1152   0.159E+02
DAV:   4    -0.409722447496E+03   -0.51298E+02   -0.50680E+02  1152   0.356E+01
DAV:   5    -0.411401765525E+03   -0.16793E+01   -0.16765E+01  1216   0.686E+00    0.838E+01
DAV:   6    -0.531096086273E+03   -0.11969E+03   -0.11102E+03  1168   0.129E+02    0.182E+02
DAV:   7    -0.389544544521E+03    0.14155E+03   -0.20743E+02  1128   0.624E+01    0.769E+01
DAV:   8    -0.395610453115E+03   -0.60659E+01   -0.19476E+02  1376   0.838E+01    0.972E+01
DAV:   9    -0.376825617184E+03    0.18785E+02   -0.12276E+02  1248   0.581E+01    0.780E+01
DAV:  10    -0.367929443029E+03    0.88962E+01   -0.85356E+01  1352   0.364E+01    0.468E+01
DAV:  11    -0.369245361403E+03   -0.13159E+01   -0.35786E+01  1304   0.372E+01    0.724E+01
DAV:  12    -0.360871782301E+03    0.83736E+01   -0.31856E+01  1344   0.232E+01    0.272E+01
DAV:  13    -0.361295286160E+03   -0.42350E+00   -0.16262E+01  1328   0.269E+01    0.439E+01
DAV:  14    -0.359823500865E+03    0.14718E+01   -0.16123E+01  1264   0.175E+01    0.267E+01
DAV:  15    -0.357549895157E+03    0.22736E+01   -0.43377E+00  1320   0.129E+01    0.182E+01
DAV:  16    -0.357211798475E+03    0.33810E+00   -0.27187E+00  1352   0.109E+01    0.185E+01
DAV:  17    -0.355911963558E+03    0.12998E+01   -0.22352E+00  1312   0.974E+00    0.923E+00
DAV:  18    -0.355838155990E+03    0.73808E-01   -0.80862E-01  1320   0.541E+00    0.847E+00
DAV:  19    -0.355798863011E+03    0.39293E-01   -0.98276E-01  1320   0.502E+00    0.744E+00
DAV:  20    -0.355735573646E+03    0.63289E-01   -0.71096E-01  1296   0.485E+00    0.613E+00
DAV:  21    -0.355703818577E+03    0.31755E-01   -0.36787E-01  1304   0.360E+00    0.569E+00
DAV:  22    -0.355698785361E+03    0.50332E-02   -0.35766E-01  1192   0.411E+00    0.513E+00
DAV:  23    -0.355720375584E+03   -0.21590E-01   -0.28797E-01  1360   0.308E+00    0.653E+00
DAV:  24    -0.355624633222E+03    0.95742E-01   -0.29218E-01  1192   0.224E+00    0.327E+00
DAV:  25    -0.355658844018E+03   -0.34211E-01   -0.10566E-01  1336   0.209E+00    0.434E+00
DAV:  26    -0.355618192246E+03    0.40652E-01   -0.51251E-02  1344   0.134E+00    0.310E+00
DAV:  27    -0.355614966338E+03    0.32259E-02   -0.42891E-02  1312   0.113E+00    0.288E+00
DAV:  28    -0.355601301793E+03    0.13665E-01   -0.22171E-02  1344   0.874E-01    0.199E+00
DAV:  29    -0.355594900526E+03    0.64013E-02   -0.14419E-02  1280   0.794E-01    0.153E+00
DAV:  30    -0.355592982992E+03    0.19175E-02   -0.76051E-03  1328   0.512E-01    0.132E+00
DAV:  31    -0.355590540224E+03    0.24428E-02   -0.44830E-03  1200   0.430E-01    0.108E+00
DAV:  32    -0.355589520269E+03    0.10200E-02   -0.27915E-03  1296   0.313E-01    0.813E-01
DAV:  33    -0.355588174504E+03    0.13458E-02   -0.31560E-03  1272   0.340E-01    0.411E-01
DAV:  34    -0.355588415384E+03   -0.24088E-03   -0.16018E-03  1184   0.255E-01    0.275E-01
DAV:  35    -0.355589283596E+03   -0.86821E-03   -0.90069E-04  1016   0.172E-01    0.311E-01
DAV:  36    -0.355589453815E+03   -0.17022E-03   -0.61232E-04   880   0.161E-01    0.264E-01
DAV:  37    -0.355589944492E+03   -0.49068E-03   -0.30692E-04   704   0.114E-01    0.244E-01
DAV:  38    -0.355590132471E+03   -0.18798E-03   -0.20248E-04   608   0.110E-01    0.184E-01
DAV:  39    -0.355590679774E+03   -0.54730E-03   -0.14653E-04   640   0.771E-02    0.147E-01
DAV:  40    -0.355591013500E+03   -0.33373E-03   -0.15657E-04   632   0.869E-02    0.120E-01
DAV:  41    -0.355591812684E+03   -0.79918E-03   -0.26245E-04   768   0.738E-02    0.875E-02
DAV:  42    -0.355592145114E+03   -0.33243E-03   -0.12901E-04   656   0.738E-02    0.766E-02
DAV:  43    -0.355592653642E+03   -0.50853E-03   -0.86260E-05   632   0.459E-02    0.811E-02
DAV:  44    -0.355592800627E+03   -0.14698E-03   -0.60046E-05   600   0.446E-02    0.667E-02
DAV:  45    -0.355593049751E+03   -0.24912E-03   -0.42479E-05   616   0.285E-02    0.567E-02
DAV:  46    -0.355593140294E+03   -0.90543E-04   -0.31175E-05   584   0.298E-02
   1 F= -.35559314E+03 E0= -.35495880E+03  d E =-.126868E+01
