 running on   12 total cores
 distrk:  each k-point on   12 cores,    1 groups
 distr:  one band on    6 cores,    2 groups
 using from now: INCAR     
 vasp.5.4.4.18Apr17-6-g9f103f2a35 (build Aug 13 2019 17:33:20) gamma-only       
  
 POSCAR found type information on POSCAR  Ty Ty
 POSCAR found :  2 types and      74 ions
 scaLAPACK will be used
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   1 type information:  Ty Ni
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   2 type information:  Ty S 
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.913162032485E+04    0.91316E+04   -0.52015E+05  1200   0.154E+03
DAV:   2     0.490495021161E+03   -0.86411E+04   -0.83315E+04  1048   0.490E+02
DAV:   3    -0.355576821694E+03   -0.84607E+03   -0.81261E+03  1136   0.163E+02
DAV:   4    -0.398839481814E+03   -0.43263E+02   -0.42832E+02  1112   0.351E+01
DAV:   5    -0.400623720653E+03   -0.17842E+01   -0.17816E+01  1216   0.732E+00    0.100E+02
DAV:   6    -0.473181740309E+03   -0.72558E+02   -0.99492E+02  1240   0.130E+02    0.168E+02
DAV:   7    -0.377602449035E+03    0.95579E+02   -0.21105E+02  1128   0.738E+01    0.818E+01
DAV:   8    -0.425280026389E+03   -0.47678E+02   -0.26029E+02  1344   0.914E+01    0.916E+01
DAV:   9    -0.373983103006E+03    0.51297E+02   -0.12840E+02  1416   0.611E+01    0.686E+01
DAV:  10    -0.385113657931E+03   -0.11131E+02   -0.10200E+02  1328   0.738E+01    0.815E+01
DAV:  11    -0.369796437730E+03    0.15317E+02   -0.72104E+01  1368   0.451E+01    0.530E+01
DAV:  12    -0.353311519769E+03    0.16485E+02   -0.29265E+01  1336   0.354E+01    0.248E+01
DAV:  13    -0.351736428756E+03    0.15751E+01   -0.14247E+01  1352   0.223E+01    0.239E+01
DAV:  14    -0.349465867521E+03    0.22706E+01   -0.63462E+00  1344   0.146E+01    0.167E+01
DAV:  15    -0.348876942922E+03    0.58892E+00   -0.15830E+00  1312   0.641E+00    0.136E+01
DAV:  16    -0.348741811791E+03    0.13513E+00   -0.29756E-01  1152   0.218E+00    0.130E+01
DAV:  17    -0.348611469490E+03    0.13034E+00   -0.28806E-01  1256   0.345E+00    0.126E+01
DAV:  18    -0.348436369650E+03    0.17510E+00   -0.54487E-01  1384   0.457E+00    0.116E+01
DAV:  19    -0.348151220646E+03    0.28515E+00   -0.11656E+00  1376   0.701E+00    0.910E+00
DAV:  20    -0.348124130770E+03    0.27090E-01   -0.10882E+00  1232   0.636E+00    0.820E+00
DAV:  21    -0.348161700671E+03   -0.37570E-01   -0.87724E-01  1232   0.617E+00    0.885E+00
DAV:  22    -0.348032089644E+03    0.12961E+00   -0.38769E-01  1080   0.271E+00    0.556E+00
DAV:  23    -0.347975272208E+03    0.56817E-01   -0.90477E-02  1264   0.196E+00    0.489E+00
DAV:  24    -0.347945337604E+03    0.29935E-01   -0.97111E-02  1200   0.191E+00    0.442E+00
DAV:  25    -0.347914284944E+03    0.31053E-01   -0.10498E-01  1112   0.171E+00    0.410E+00
DAV:  26    -0.347848295721E+03    0.65989E-01   -0.10574E-01  1400   0.154E+00    0.193E+00
DAV:  27    -0.347843044265E+03    0.52515E-02   -0.61229E-02  1296   0.152E+00    0.154E+00
DAV:  28    -0.347839955893E+03    0.30884E-02   -0.27997E-02  1088   0.102E+00    0.117E+00
DAV:  29    -0.347837331178E+03    0.26247E-02   -0.61943E-03  1208   0.457E-01    0.916E-01
DAV:  30    -0.347835398066E+03    0.19331E-02   -0.26551E-03  1288   0.265E-01    0.594E-01
DAV:  31    -0.347835230475E+03    0.16759E-03   -0.25649E-03  1304   0.319E-01    0.467E-01
DAV:  32    -0.347835768746E+03   -0.53827E-03   -0.25294E-03  1280   0.301E-01    0.400E-01
DAV:  33    -0.347836010964E+03   -0.24222E-03   -0.13131E-03  1240   0.230E-01    0.371E-01
DAV:  34    -0.347835885239E+03    0.12573E-03   -0.55815E-04   920   0.150E-01    0.254E-01
DAV:  35    -0.347836343850E+03   -0.45861E-03   -0.26656E-04   768   0.105E-01    0.263E-01
DAV:  36    -0.347836490471E+03   -0.14662E-03   -0.19547E-04   664   0.893E-02    0.230E-01
DAV:  37    -0.347836782980E+03   -0.29251E-03   -0.30402E-04   768   0.102E-01    0.861E-02
DAV:  38    -0.347837147603E+03   -0.36462E-03   -0.19162E-04   712   0.826E-02    0.675E-02
DAV:  39    -0.347837891940E+03   -0.74434E-03   -0.22717E-04   776   0.665E-02    0.942E-02
DAV:  40    -0.347838321838E+03   -0.42990E-03   -0.97384E-05   648   0.484E-02    0.936E-02
DAV:  41    -0.347838464134E+03   -0.14230E-03   -0.43011E-05   600   0.385E-02    0.695E-02
DAV:  42    -0.347838783386E+03   -0.31925E-03   -0.32460E-05   616   0.335E-02    0.473E-02
DAV:  43    -0.347838956058E+03   -0.17267E-03   -0.36718E-05   616   0.315E-02    0.375E-02
DAV:  44    -0.347839261227E+03   -0.30517E-03   -0.35881E-05   600   0.280E-02    0.514E-02
DAV:  45    -0.347839327754E+03   -0.66527E-04   -0.24144E-05   608   0.194E-02
   1 F= -.34783933E+03 E0= -.34723841E+03  d E =-.120183E+01
