 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and      72 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.860060723172E+04    0.86006E+04   -0.49970E+05  1184   0.152E+03
DAV:   2     0.474809027994E+03   -0.81258E+04   -0.78263E+04  1024   0.480E+02
DAV:   3    -0.347142098280E+03   -0.82195E+03   -0.77626E+03  1104   0.155E+02
DAV:   4    -0.396136603086E+03   -0.48995E+02   -0.48369E+02  1096   0.354E+01
DAV:   5    -0.398004768341E+03   -0.18682E+01   -0.18651E+01  1216   0.737E+00    0.823E+01
DAV:   6    -0.511235489837E+03   -0.11323E+03   -0.10626E+03  1160   0.127E+02    0.177E+02
DAV:   7    -0.376125457391E+03    0.13511E+03   -0.19872E+02  1136   0.601E+01    0.748E+01
DAV:   8    -0.387681939437E+03   -0.11556E+02   -0.19987E+02  1344   0.840E+01    0.962E+01
DAV:   9    -0.364588511984E+03    0.23093E+02   -0.10724E+02  1288   0.471E+01    0.583E+01
DAV:  10    -0.354371955227E+03    0.10217E+02   -0.47299E+01  1304   0.439E+01    0.639E+01
DAV:  11    -0.360902330326E+03   -0.65304E+01   -0.63460E+01  1304   0.319E+01    0.816E+01
DAV:  12    -0.356655688650E+03    0.42466E+01   -0.46242E+01  1320   0.224E+01    0.440E+01
DAV:  13    -0.353345021423E+03    0.33107E+01   -0.22769E+01  1352   0.259E+01    0.344E+01
DAV:  14    -0.348898590137E+03    0.44464E+01   -0.89343E+00  1320   0.190E+01    0.296E+01
DAV:  15    -0.346857970164E+03    0.20406E+01   -0.64190E+00  1208   0.148E+01    0.217E+01
DAV:  16    -0.345684010121E+03    0.11740E+01   -0.31235E+00  1304   0.104E+01    0.176E+01
DAV:  17    -0.344355851656E+03    0.13282E+01   -0.17828E+00  1256   0.856E+00    0.106E+01
DAV:  18    -0.344197969305E+03    0.15788E+00   -0.12936E+00  1320   0.652E+00    0.979E+00
DAV:  19    -0.343959770404E+03    0.23820E+00   -0.74974E-01  1264   0.524E+00    0.662E+00
DAV:  20    -0.343946314358E+03    0.13456E-01   -0.42063E-01  1280   0.368E+00    0.678E+00
DAV:  21    -0.343929977633E+03    0.16337E-01   -0.39741E-01  1216   0.412E+00    0.620E+00
DAV:  22    -0.343913895888E+03    0.16082E-01   -0.27559E-01  1264   0.355E+00    0.550E+00
DAV:  23    -0.343828931342E+03    0.84965E-01   -0.19477E-01  1336   0.266E+00    0.345E+00
DAV:  24    -0.343831203417E+03   -0.22721E-02   -0.92326E-02  1216   0.213E+00    0.353E+00
DAV:  25    -0.343806984570E+03    0.24219E-01   -0.47902E-02  1216   0.160E+00    0.287E+00
DAV:  26    -0.343797263620E+03    0.97210E-02   -0.29721E-02  1312   0.106E+00    0.229E+00
DAV:  27    -0.343785479491E+03    0.11784E-01   -0.26140E-02  1296   0.112E+00    0.155E+00
DAV:  28    -0.343782617320E+03    0.28622E-02   -0.12498E-02  1296   0.731E-01    0.122E+00
DAV:  29    -0.343784870431E+03   -0.22531E-02   -0.94137E-03  1248   0.664E-01    0.142E+00
DAV:  30    -0.343780789822E+03    0.40806E-02   -0.45437E-03  1216   0.494E-01    0.101E+00
DAV:  31    -0.343780031549E+03    0.75827E-03   -0.38069E-03  1208   0.403E-01    0.747E-01
DAV:  32    -0.343778610620E+03    0.14209E-02   -0.37505E-03  1240   0.364E-01    0.269E-01
DAV:  33    -0.343779183083E+03   -0.57246E-03   -0.12012E-03  1072   0.222E-01    0.278E-01
DAV:  34    -0.343779425843E+03   -0.24276E-03   -0.55718E-04   856   0.173E-01    0.142E-01
DAV:  35    -0.343780033815E+03   -0.60797E-03   -0.46597E-04   848   0.150E-01    0.198E-01
DAV:  36    -0.343780649924E+03   -0.61611E-03   -0.39081E-04   792   0.143E-01    0.212E-01
DAV:  37    -0.343780922309E+03   -0.27238E-03   -0.17527E-04   640   0.101E-01    0.167E-01
DAV:  38    -0.343781441832E+03   -0.51952E-03   -0.17825E-04   672   0.876E-02    0.102E-01
DAV:  39    -0.343781707508E+03   -0.26568E-03   -0.96621E-05   592   0.673E-02    0.802E-02
DAV:  40    -0.343782410495E+03   -0.70299E-03   -0.15186E-04   736   0.603E-02    0.750E-02
DAV:  41    -0.343782807632E+03   -0.39714E-03   -0.79843E-05   616   0.585E-02    0.680E-02
DAV:  42    -0.343783200425E+03   -0.39279E-03   -0.90708E-05   648   0.495E-02    0.510E-02
DAV:  43    -0.343783378379E+03   -0.17795E-03   -0.54318E-05   600   0.301E-02    0.338E-02
DAV:  44    -0.343783475410E+03   -0.97031E-04   -0.32620E-05   600   0.267E-02
   1 F= -.34378348E+03 E0= -.34313661E+03  d E =-.129374E+01
