 running on   12 total cores
 distrk:  each k-point on   12 cores,    1 groups
 distr:  one band on    6 cores,    2 groups
 using from now: INCAR     
 vasp.5.4.4.18Apr17-6-g9f103f2a35 (build Aug 13 2019 17:33:20) gamma-only       
  
 POSCAR found type information on POSCAR  Ty Ty
 POSCAR found :  2 types and      72 ions
 scaLAPACK will be used
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   1 type information:  Ty Ni
 WARNING: type information on POSCAR and POTCAR are incompatible
 POTCAR overwrites the type information in POSCAR
 typ   2 type information:  Ty S 
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.996437825959E+04    0.99644E+04   -0.51419E+05  1160   0.165E+03
DAV:   2     0.596737331504E+03   -0.93676E+04   -0.90257E+04  1020   0.532E+02
DAV:   3    -0.335461177587E+03   -0.93220E+03   -0.88951E+03  1072   0.185E+02
DAV:   4    -0.390236380147E+03   -0.54775E+02   -0.54257E+02  1120   0.407E+01
DAV:   5    -0.392206767006E+03   -0.19704E+01   -0.19677E+01  1224   0.816E+00    0.998E+01
DAV:   6    -0.453308494085E+03   -0.61102E+02   -0.87017E+02  1192   0.122E+02    0.153E+02
DAV:   7    -0.360464885115E+03    0.92844E+02   -0.19935E+02  1080   0.806E+01    0.657E+01
DAV:   8    -0.461648628000E+03   -0.10118E+03   -0.23134E+02  1280   0.116E+02    0.144E+02
DAV:   9    -0.379775716392E+03    0.81873E+02   -0.15871E+02  1200   0.806E+01    0.875E+01
DAV:  10    -0.379271765191E+03    0.50395E+00   -0.10634E+02  1408   0.559E+01    0.746E+01
DAV:  11    -0.371720835596E+03    0.75509E+01   -0.60464E+01  1304   0.487E+01    0.610E+01
DAV:  12    -0.357002664249E+03    0.14718E+02   -0.42613E+01  1256   0.445E+01    0.400E+01
DAV:  13    -0.354265958619E+03    0.27367E+01   -0.29899E+01  1312   0.410E+01    0.409E+01
DAV:  14    -0.348187389024E+03    0.60786E+01   -0.17915E+01  1304   0.269E+01    0.225E+01
DAV:  15    -0.346552894133E+03    0.16345E+01   -0.41239E+00  1280   0.115E+01    0.149E+01
DAV:  16    -0.346349137759E+03    0.20376E+00   -0.98135E-01  1264   0.482E+00    0.138E+01
DAV:  17    -0.346262639294E+03    0.86498E-01   -0.78814E-01  1120   0.575E+00    0.131E+01
DAV:  18    -0.346027900750E+03    0.23474E+00   -0.21122E-01  1296   0.285E+00    0.120E+01
DAV:  19    -0.345654203329E+03    0.37370E+00   -0.58589E-01  1360   0.594E+00    0.999E+00
DAV:  20    -0.345313543696E+03    0.34066E+00   -0.56788E-01  1288   0.547E+00    0.652E+00
DAV:  21    -0.345184420078E+03    0.12912E+00   -0.47319E-01  1296   0.439E+00    0.397E+00
DAV:  22    -0.345178584707E+03    0.58354E-02   -0.23153E-01  1128   0.243E+00    0.349E+00
DAV:  23    -0.345166537502E+03    0.12047E-01   -0.57388E-02  1096   0.143E+00    0.302E+00
DAV:  24    -0.345158758148E+03    0.77794E-02   -0.60163E-02  1096   0.190E+00    0.287E+00
DAV:  25    -0.345144829197E+03    0.13929E-01   -0.72842E-02  1280   0.180E+00    0.210E+00
DAV:  26    -0.345130039418E+03    0.14790E-01   -0.52377E-02  1280   0.161E+00    0.137E+00
DAV:  27    -0.345125799613E+03    0.42398E-02   -0.24286E-02  1288   0.959E-01    0.812E-01
DAV:  28    -0.345125105035E+03    0.69458E-03   -0.11256E-02  1144   0.624E-01    0.637E-01
DAV:  29    -0.345124839491E+03    0.26554E-03   -0.42715E-03  1064   0.435E-01    0.593E-01
DAV:  30    -0.345124866219E+03   -0.26728E-04   -0.17320E-03  1136   0.297E-01    0.520E-01
DAV:  31    -0.345124250125E+03    0.61609E-03   -0.20100E-03  1136   0.331E-01    0.301E-01
DAV:  32    -0.345124589247E+03   -0.33912E-03   -0.15327E-03  1192   0.246E-01    0.282E-01
DAV:  33    -0.345124515393E+03    0.73854E-04   -0.95990E-04  1016   0.223E-01
   1 F= -.34512452E+03 E0= -.34463687E+03  d E =-.975290E+00
