 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and      72 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.967433311666E+04    0.96743E+04   -0.50863E+05  1184   0.163E+03
DAV:   2     0.581184135297E+03   -0.90931E+04   -0.87643E+04  1024   0.520E+02
DAV:   3    -0.344522550565E+03   -0.92571E+03   -0.87444E+03  1096   0.177E+02
DAV:   4    -0.403404996467E+03   -0.58882E+02   -0.58234E+02  1128   0.399E+01
DAV:   5    -0.405585464397E+03   -0.21805E+01   -0.21780E+01  1232   0.821E+00    0.824E+01
DAV:   6    -0.492360324229E+03   -0.86775E+02   -0.97968E+02  1168   0.117E+02    0.159E+02
DAV:   7    -0.374752352540E+03    0.11761E+03   -0.17599E+02  1136   0.630E+01    0.633E+01
DAV:   8    -0.476175722919E+03   -0.10142E+03   -0.15360E+02  1312   0.881E+01    0.172E+02
DAV:   9    -0.373762801012E+03    0.10241E+03   -0.12154E+02  1192   0.495E+01    0.780E+01
DAV:  10    -0.371504474975E+03    0.22583E+01   -0.54192E+01  1320   0.297E+01    0.493E+01
DAV:  11    -0.373580764646E+03   -0.20763E+01   -0.47541E+01  1288   0.282E+01    0.585E+01
DAV:  12    -0.368842295190E+03    0.47385E+01   -0.40577E+01  1216   0.296E+01    0.429E+01
DAV:  13    -0.367663468726E+03    0.11788E+01   -0.19187E+01  1272   0.274E+01    0.693E+01
DAV:  14    -0.360382357074E+03    0.72811E+01   -0.10064E+01  1296   0.145E+01    0.245E+01
DAV:  15    -0.359021440363E+03    0.13609E+01   -0.56583E+00  1288   0.155E+01    0.340E+01
DAV:  16    -0.358792456482E+03    0.22898E+00   -0.11398E+01  1224   0.105E+01    0.217E+01
DAV:  17    -0.357045431693E+03    0.17470E+01   -0.18493E+00  1312   0.886E+00    0.165E+01
DAV:  18    -0.356438759235E+03    0.60667E+00   -0.13518E+00  1320   0.680E+00    0.150E+01
DAV:  19    -0.355819035155E+03    0.61972E+00   -0.66485E-01  1312   0.522E+00    0.116E+01
DAV:  20    -0.355489796113E+03    0.32924E+00   -0.34779E-01  1296   0.382E+00    0.951E+00
DAV:  21    -0.355376352935E+03    0.11344E+00   -0.15430E-01  1288   0.211E+00    0.861E+00
DAV:  22    -0.355306476405E+03    0.69877E-01   -0.15054E-01  1296   0.233E+00    0.773E+00
DAV:  23    -0.355161054072E+03    0.14542E+00   -0.32388E-01  1440   0.362E+00    0.625E+00
DAV:  24    -0.355033495041E+03    0.12756E+00   -0.26843E-01  1376   0.358E+00    0.368E+00
DAV:  25    -0.355021102091E+03    0.12393E-01   -0.11892E-01  1296   0.172E+00    0.329E+00
DAV:  26    -0.355007173829E+03    0.13928E-01   -0.48012E-02  1248   0.122E+00    0.261E+00
DAV:  27    -0.355013790640E+03   -0.66168E-02   -0.50753E-02  1272   0.162E+00    0.285E+00
DAV:  28    -0.354996247480E+03    0.17543E-01   -0.65491E-02  1320   0.161E+00    0.201E+00
DAV:  29    -0.355005483326E+03   -0.92358E-02   -0.51036E-02  1288   0.149E+00    0.249E+00
DAV:  30    -0.354984603050E+03    0.20880E-01   -0.41481E-02  1312   0.113E+00    0.136E+00
DAV:  31    -0.354982155947E+03    0.24471E-02   -0.17475E-02  1264   0.881E-01    0.107E+00
DAV:  32    -0.354982458825E+03   -0.30288E-03   -0.10226E-02  1312   0.585E-01    0.110E+00
DAV:  33    -0.354980127675E+03    0.23311E-02   -0.62951E-03  1304   0.540E-01    0.848E-01
DAV:  34    -0.354979063511E+03    0.10642E-02   -0.31556E-03  1272   0.347E-01    0.649E-01
DAV:  35    -0.354978153362E+03    0.91015E-03   -0.18897E-03  1048   0.330E-01    0.403E-01
DAV:  36    -0.354978772914E+03   -0.61955E-03   -0.12202E-03  1128   0.239E-01    0.451E-01
DAV:  37    -0.354978278473E+03    0.49444E-03   -0.71288E-04   976   0.206E-01    0.270E-01
DAV:  38    -0.354978424646E+03   -0.14617E-03   -0.23726E-04   592   0.119E-01    0.216E-01
DAV:  39    -0.354978543733E+03   -0.11909E-03   -0.34040E-04   720   0.102E-01    0.873E-02
DAV:  40    -0.354978755693E+03   -0.21196E-03   -0.16435E-04   664   0.647E-02    0.956E-02
DAV:  41    -0.354979189267E+03   -0.43357E-03   -0.11254E-04   632   0.615E-02    0.645E-02
DAV:  42    -0.354979660494E+03   -0.47123E-03   -0.93113E-05   600   0.631E-02    0.886E-02
DAV:  43    -0.354979965727E+03   -0.30523E-03   -0.93206E-05   632   0.610E-02    0.611E-02
DAV:  44    -0.354980257439E+03   -0.29171E-03   -0.45108E-05   600   0.395E-02    0.615E-02
DAV:  45    -0.354980563151E+03   -0.30571E-03   -0.45142E-05   624   0.400E-02    0.341E-02
DAV:  46    -0.354981070822E+03   -0.50767E-03   -0.69227E-05   656   0.301E-02    0.448E-02
DAV:  47    -0.354981174671E+03   -0.10385E-03   -0.34403E-05   608   0.300E-02    0.280E-02
DAV:  48    -0.354981269610E+03   -0.94939E-04   -0.17872E-05   584   0.146E-02
   1 F= -.35498127E+03 E0= -.35444055E+03  d E =-.108143E+01
