 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and      52 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.626477235867E+04    0.62648E+04   -0.36202E+05   848   0.154E+03
DAV:   2     0.350937570994E+03   -0.59138E+04   -0.57082E+04   728   0.486E+02
DAV:   3    -0.252966499423E+03   -0.60390E+03   -0.57267E+03   824   0.158E+02
DAV:   4    -0.289226624029E+03   -0.36260E+02   -0.35802E+02   856   0.349E+01
DAV:   5    -0.290117774501E+03   -0.89115E+00   -0.88984E+00   832   0.578E+00    0.693E+01
DAV:   6    -0.369352399761E+03   -0.79235E+02   -0.77713E+02   824   0.127E+02    0.147E+02
DAV:   7    -0.272325004358E+03    0.97027E+02   -0.14601E+02   776   0.654E+01    0.600E+01
DAV:   8    -0.293078645152E+03   -0.20754E+02   -0.14799E+02   960   0.766E+01    0.901E+01
DAV:   9    -0.259635966222E+03    0.33443E+02   -0.63921E+01   912   0.354E+01    0.358E+01
DAV:  10    -0.275831712028E+03   -0.16196E+02   -0.39550E+01   920   0.490E+01    0.105E+02
DAV:  11    -0.263595419755E+03    0.12236E+02   -0.48581E+01   952   0.245E+01    0.537E+01
DAV:  12    -0.256904238405E+03    0.66912E+01   -0.26962E+01   976   0.250E+01    0.263E+01
DAV:  13    -0.255925570801E+03    0.97867E+00   -0.90794E+00   912   0.235E+01    0.288E+01
DAV:  14    -0.254263184154E+03    0.16624E+01   -0.72686E+00   952   0.181E+01    0.200E+01
DAV:  15    -0.253230924898E+03    0.10323E+01   -0.21153E+00   888   0.110E+01    0.157E+01
DAV:  16    -0.252637727522E+03    0.59320E+00   -0.94795E-01   944   0.696E+00    0.125E+01
DAV:  17    -0.252365211813E+03    0.27252E+00   -0.57967E-01   904   0.523E+00    0.112E+01
DAV:  18    -0.252213251997E+03    0.15196E+00   -0.81308E-01   896   0.598E+00    0.998E+00
DAV:  19    -0.251939961275E+03    0.27329E+00   -0.55872E-01   936   0.504E+00    0.811E+00
DAV:  20    -0.251823527746E+03    0.11643E+00   -0.39857E-01   928   0.405E+00    0.658E+00
DAV:  21    -0.251687590369E+03    0.13594E+00   -0.26760E-01   992   0.321E+00    0.461E+00
DAV:  22    -0.251654478570E+03    0.33112E-01   -0.17657E-01   952   0.289E+00    0.417E+00
DAV:  23    -0.251601911710E+03    0.52567E-01   -0.12708E-01  1016   0.256E+00    0.283E+00
DAV:  24    -0.251604172585E+03   -0.22609E-02   -0.91140E-02   896   0.199E+00    0.270E+00
DAV:  25    -0.251604659309E+03   -0.48672E-03   -0.62332E-02   904   0.183E+00    0.254E+00
DAV:  26    -0.251599494713E+03    0.51646E-02   -0.43135E-02   928   0.165E+00    0.205E+00
DAV:  27    -0.251595054267E+03    0.44404E-02   -0.36843E-02   888   0.128E+00    0.204E+00
DAV:  28    -0.251586095084E+03    0.89592E-02   -0.14248E-02   904   0.931E-01    0.132E+00
DAV:  29    -0.251581210125E+03    0.48850E-02   -0.64664E-03   952   0.579E-01    0.865E-01
DAV:  30    -0.251580529998E+03    0.68013E-03   -0.38034E-03   928   0.476E-01    0.700E-01
DAV:  31    -0.251579171784E+03    0.13582E-02   -0.21724E-03   928   0.323E-01    0.404E-01
DAV:  32    -0.251579272803E+03   -0.10102E-03   -0.18577E-03   832   0.323E-01    0.379E-01
DAV:  33    -0.251579124337E+03    0.14847E-03   -0.13048E-03   784   0.228E-01    0.239E-01
DAV:  34    -0.251579213723E+03   -0.89386E-04   -0.79999E-04   688   0.222E-01
   1 F= -.25157921E+03 E0= -.25108909E+03  d E =-.980255E+00
