 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and      72 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.972166169705E+04    0.97217E+04   -0.50820E+05  1160   0.163E+03
DAV:   2     0.598105659600E+03   -0.91236E+04   -0.87984E+04  1016   0.523E+02
DAV:   3    -0.343419984766E+03   -0.94153E+03   -0.88693E+03  1104   0.179E+02
DAV:   4    -0.404096497863E+03   -0.60677E+02   -0.59902E+02  1096   0.404E+01
DAV:   5    -0.406742294430E+03   -0.26458E+01   -0.26417E+01  1272   0.902E+00    0.817E+01
DAV:   6    -0.484334131758E+03   -0.77592E+02   -0.96240E+02  1168   0.115E+02    0.153E+02
DAV:   7    -0.373249133268E+03    0.11108E+03   -0.17599E+02  1128   0.639E+01    0.587E+01
DAV:   8    -0.436220057653E+03   -0.62971E+02   -0.15437E+02  1344   0.708E+01    0.150E+02
DAV:   9    -0.379543135359E+03    0.56677E+02   -0.13193E+02  1256   0.457E+01    0.746E+01
DAV:  10    -0.380639099069E+03   -0.10960E+01   -0.73551E+01  1328   0.397E+01    0.576E+01
DAV:  11    -0.375205296548E+03    0.54338E+01   -0.39875E+01  1296   0.408E+01    0.599E+01
DAV:  12    -0.365917567578E+03    0.92877E+01   -0.37557E+01  1296   0.340E+01    0.331E+01
DAV:  13    -0.362990295877E+03    0.29273E+01   -0.13232E+01  1248   0.239E+01    0.291E+01
DAV:  14    -0.360821349681E+03    0.21689E+01   -0.86569E+00  1296   0.183E+01    0.233E+01
DAV:  15    -0.359242716430E+03    0.15786E+01   -0.28949E+00  1272   0.113E+01    0.183E+01
DAV:  16    -0.358504331638E+03    0.73838E+00   -0.14673E+00  1216   0.787E+00    0.146E+01
DAV:  17    -0.358115408179E+03    0.38892E+00   -0.61892E-01  1312   0.446E+00    0.127E+01
DAV:  18    -0.357704923712E+03    0.41048E+00   -0.43931E-01  1304   0.400E+00    0.109E+01
DAV:  19    -0.357469147556E+03    0.23578E+00   -0.39326E-01  1304   0.357E+00    0.923E+00
DAV:  20    -0.357286707510E+03    0.18244E+00   -0.23858E-01  1304   0.308E+00    0.733E+00
DAV:  21    -0.357125890791E+03    0.16082E+00   -0.20792E-01  1392   0.330E+00    0.527E+00
DAV:  22    -0.357147976760E+03   -0.22086E-01   -0.27739E-01  1296   0.304E+00    0.580E+00
DAV:  23    -0.357025374789E+03    0.12260E+00   -0.17803E-01  1360   0.254E+00    0.293E+00
DAV:  24    -0.357012888493E+03    0.12486E-01   -0.12869E-01  1320   0.202E+00    0.240E+00
DAV:  25    -0.357043630770E+03   -0.30742E-01   -0.12560E-01  1312   0.201E+00    0.355E+00
DAV:  26    -0.357000702374E+03    0.42928E-01   -0.82701E-02  1128   0.174E+00    0.108E+00
DAV:  27    -0.357005011220E+03   -0.43088E-02   -0.27255E-02  1296   0.101E+00    0.138E+00
DAV:  28    -0.356998901758E+03    0.61095E-02   -0.17178E-02  1232   0.806E-01    0.652E-01
DAV:  29    -0.356999189035E+03   -0.28728E-03   -0.65764E-03  1304   0.501E-01    0.579E-01
DAV:  30    -0.356998641845E+03    0.54719E-03   -0.29992E-03  1120   0.346E-01    0.320E-01
DAV:  31    -0.356998766295E+03   -0.12445E-03   -0.15261E-03  1112   0.287E-01    0.289E-01
DAV:  32    -0.356998800396E+03   -0.34101E-04   -0.60081E-04   864   0.177E-01
   1 F= -.35699880E+03 E0= -.35647909E+03  d E =-.103941E+01
