 running on   48 total cores
 distrk:  each k-point on   48 cores,    1 groups
 distr:  one band on    6 cores,    8 groups
 using from now: INCAR     
 vasp.6.1.0 28Jan20 (build Mar 31 2020 17:42:31) gamma-only                     
  
 POSCAR found type information on POSCAR NiS 
 POSCAR found :  2 types and      96 ions
 scaLAPACK will be used
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.145891118139E+05    0.14589E+05   -0.67851E+05  1528   0.175E+03
DAV:   2     0.116588417380E+04   -0.13423E+05   -0.12954E+05  1296   0.572E+02
DAV:   3    -0.415155372704E+03   -0.15810E+04   -0.14584E+04  1464   0.208E+02
DAV:   4    -0.544398925729E+03   -0.12924E+03   -0.12647E+03  1480   0.508E+01
DAV:   5    -0.549580922499E+03   -0.51820E+01   -0.51644E+01  1600   0.112E+01    0.947E+01
DAV:   6    -0.790659484750E+03   -0.24108E+03   -0.12039E+03  1664   0.135E+02    0.240E+02
DAV:   7    -0.632155489994E+03    0.15850E+03   -0.29825E+02  1576   0.773E+01    0.141E+02
DAV:   8    -0.773927319070E+03   -0.14177E+03   -0.31048E+02  1744   0.114E+02    0.200E+02
DAV:   9    -0.553897717578E+03    0.22003E+03   -0.19010E+02  1760   0.598E+01    0.147E+02
DAV:  10    -0.602810346669E+03   -0.48913E+02   -0.17885E+02  1848   0.725E+01    0.143E+02
DAV:  11    -0.605906821813E+03   -0.30965E+01   -0.17405E+02  1624   0.784E+01    0.167E+02
DAV:  12    -0.568436480450E+03    0.37470E+02   -0.11180E+02  1680   0.381E+01    0.110E+02
DAV:  13    -0.574448473827E+03   -0.60120E+01   -0.82483E+01  1640   0.473E+01    0.109E+02
DAV:  14    -0.564710836867E+03    0.97376E+01   -0.81795E+01  1648   0.534E+01    0.125E+02
DAV:  15    -0.554364873030E+03    0.10346E+02   -0.85997E+01  1736   0.429E+01    0.128E+02
DAV:  16    -0.508838157566E+03    0.45527E+02   -0.52582E+01  1752   0.358E+01    0.552E+01
DAV:  17    -0.501988994393E+03    0.68492E+01   -0.49785E+01  1752   0.252E+01    0.442E+01
DAV:  18    -0.498380280557E+03    0.36087E+01   -0.17373E+01  1712   0.182E+01    0.354E+01
DAV:  19    -0.494818507941E+03    0.35618E+01   -0.84536E+00  1712   0.121E+01    0.295E+01
DAV:  20    -0.492749339853E+03    0.20692E+01   -0.37181E+00  1688   0.107E+01    0.266E+01
DAV:  21    -0.491127321881E+03    0.16220E+01   -0.17962E+00  1752   0.720E+00    0.235E+01
DAV:  22    -0.489851735331E+03    0.12756E+01   -0.81062E-01  1736   0.439E+00    0.206E+01
DAV:  23    -0.488143071604E+03    0.17087E+01   -0.12147E+00  2024   0.660E+00    0.173E+01
DAV:  24    -0.487519064848E+03    0.62401E+00   -0.19372E+00  1856   0.600E+00    0.157E+01
DAV:  25    -0.486962912045E+03    0.55615E+00   -0.17044E+00  1768   0.662E+00    0.125E+01
DAV:  26    -0.486407592365E+03    0.55532E+00   -0.13091E+00  1720   0.577E+00    0.932E+00
DAV:  27    -0.486329427644E+03    0.78165E-01   -0.81228E-01  1696   0.347E+00    0.793E+00
DAV:  28    -0.486209287044E+03    0.12014E+00   -0.19337E-01  1720   0.223E+00    0.650E+00
DAV:  29    -0.486143644212E+03    0.65643E-01   -0.18610E-01  1704   0.205E+00    0.587E+00
DAV:  30    -0.486006385811E+03    0.13726E+00   -0.28682E-01  1824   0.242E+00    0.442E+00
DAV:  31    -0.485941662816E+03    0.64723E-01   -0.16330E-01  1736   0.176E+00    0.327E+00
DAV:  32    -0.485912318293E+03    0.29345E-01   -0.63790E-02  1664   0.140E+00    0.272E+00
DAV:  33    -0.485905601559E+03    0.67167E-02   -0.10348E-01  1600   0.145E+00    0.264E+00
DAV:  34    -0.485903213085E+03    0.23885E-02   -0.12039E-01  1848   0.181E+00    0.266E+00
DAV:  35    -0.485882802372E+03    0.20411E-01   -0.11610E-01  1784   0.139E+00    0.184E+00
DAV:  36    -0.485872639546E+03    0.10163E-01   -0.53967E-02  1584   0.107E+00    0.125E+00
DAV:  37    -0.485869281175E+03    0.33584E-02   -0.18150E-02  1632   0.870E-01    0.852E-01
DAV:  38    -0.485873148280E+03   -0.38671E-02   -0.16189E-02  1768   0.580E-01    0.112E+00
DAV:  39    -0.485872077170E+03    0.10711E-02   -0.49039E-03  1704   0.339E-01    0.102E+00
DAV:  40    -0.485869092125E+03    0.29850E-02   -0.32146E-03  1704   0.269E-01    0.754E-01
DAV:  41    -0.485868045336E+03    0.10468E-02   -0.23513E-03  1672   0.259E-01    0.639E-01
DAV:  42    -0.485867342169E+03    0.70317E-03   -0.18121E-03  1576   0.236E-01    0.491E-01
DAV:  43    -0.485867019545E+03    0.32262E-03   -0.70262E-04  1256   0.132E-01    0.422E-01
DAV:  44    -0.485866746515E+03    0.27303E-03   -0.55967E-04  1064   0.124E-01    0.351E-01
DAV:  45    -0.485866770761E+03   -0.24246E-04   -0.87920E-04  1136   0.152E-01
   1 F= -.48586677E+03 E0= -.48525887E+03  d E =-.121580E+01
